"SpeciesId","CU","CU_Name","BroodYear","Escape","TR2","TR3","TR4","TR5","TR6","TR7","Total","Total.ER","Age2","Age3","Age4","Age5","Age6","Age7","CU_index_2"
"CM","CM_15","Spiller-Fitz Hugh-Burke",1978,290280.3679,NA,51794.16744,299052.0872,21205.52315,607.5400487,0,372659.3178,0.53275669,NA,0.17212,0.73415,0.09183,0.00187,0,"CM-15"
"CM","CM_15","Spiller-Fitz Hugh-Burke",1979,221603.8973,NA,70112.16406,169531.0337,29834.43993,715.8849083,0,270193.5226,0.44132101,NA,0.17212,0.73415,0.09183,0.00187,0,"CM-15"
"CM","CM_15","Spiller-Fitz Hugh-Burke",1980,166415.6083,NA,39746.21196,238516.3245,35154.92574,834.897524,0,314252.3597,0.500534267,NA,0.17212,0.73415,0.09183,0.00187,0,"CM-15"
"CM","CM_15","Spiller-Fitz Hugh-Burke",1981,163750.8282,NA,55919.6755,281051.8211,40999.27253,554.2253921,0,378524.9945,0.455830763,NA,0.17212,0.73415,0.09183,0.00187,0,"CM-15"
"CM","CM_15","Spiller-Fitz Hugh-Burke",1982,274738.7437,NA,65892.03765,327775.4103,27216.31965,1034.45866,0,421918.2262,0.325537399,NA,0.17212,0.73415,0.09183,0.00187,0,"CM-15"
"CM","CM_15","Spiller-Fitz Hugh-Burke",1983,174481.1076,NA,76846.28975,217585.3324,50799.11163,493.3628614,0,345724.0966,0.244413826,NA,0.17212,0.73415,0.09183,0.00187,0,"CM-15"
"CM","CM_15","Spiller-Fitz Hugh-Burke",1984,219267.4969,NA,51012.44625,406121.8317,24227.54629,805.1158494,0,482166.9401,0.325097629,NA,0.17212,0.73415,0.09183,0.00187,0,"CM-15"
"CM","CM_15","Spiller-Fitz Hugh-Burke",1985,219117.7529,NA,95214.45164,193691.0934,39536.78527,573.3717514,0,329015.7021,0.427631183,NA,0.17212,0.73415,0.09183,0.00187,0,"CM-15"
"CM","CM_15","Spiller-Fitz Hugh-Burke",1986,195528.4179,NA,45410.48968,316083.3159,28156.539,253.3222619,0,389903.6669,0.562056263,NA,0.17212,0.73415,0.09183,0.00187,0,"CM-15"
"CM","CM_15","Spiller-Fitz Hugh-Burke",1987,156363.5887,NA,74105.1016,225102.0702,12439.88412,426.5324864,0,312073.5884,0.472416971,NA,0.17212,0.73415,0.09183,0.00187,0,"CM-15"
"CM","CM_15","Spiller-Fitz Hugh-Burke",1988,282125.2311,NA,52774.73041,99452.69443,20945.71028,369.2182618,0,173542.3534,0.489999743,NA,0.17212,0.73415,0.09183,0.00187,0,"CM-15"
"CM","CM_15","Spiller-Fitz Hugh-Burke",1989,142567.0874,NA,23316.48541,167453.9171,18131.18341,792.6514215,0,209694.2373,0.459626019,NA,0.17212,0.73415,0.09183,0.00187,0,"CM-15"
"CM","CM_15","Spiller-Fitz Hugh-Burke",1990,185875.1051,NA,39259.23613,144952.7203,38924.6952,875.5427518,0,224012.1944,0.568277724,NA,0.17212,0.73415,0.09183,0.00187,0,"CM-15"
"CM","CM_15","Spiller-Fitz Hugh-Burke",1991,173166.8309,NA,33983.87552,311189.8615,42995.23577,609.7351468,0,388778.708,0.435232076,NA,0.17212,0.73415,0.09183,0.00187,0,"CM-15"
"CM","CM_15","Spiller-Fitz Hugh-Burke",1992,74448.30853,NA,72957.84099,343732.4659,29942.23451,665.3881397,0,447297.9295,0.450429915,NA,0.17212,0.73415,0.09183,0.00187,0,"CM-15"
"CM","CM_15","Spiller-Fitz Hugh-Burke",1993,138607.1076,NA,80587.38954,239378.1059,32675.18335,500.3437093,0,353141.0225,0.39231993,NA,0.17212,0.73415,0.09183,0.00187,0,"CM-15"
"CM","CM_15","Spiller-Fitz Hugh-Burke",1994,109343.477,NA,56121.71843,261227.1138,24570.35445,428.2120801,0,342347.3987,0.446202089,NA,0.17212,0.73415,0.09183,0.00187,0,"CM-15"
"CM","CM_15","Spiller-Fitz Hugh-Burke",1995,247483.963,NA,61244.17465,196431.7295,21028.19001,635.8586573,0,279339.9528,0.416143089,NA,0.17212,0.73415,0.09183,0.00187,0,"CM-15"
"CM","CM_15","Spiller-Fitz Hugh-Burke",1996,382938.6064,NA,46053.02633,168113.3148,31225.08048,634.1989753,0,246025.6206,0.182112818,NA,0.17212,0.73415,0.09183,0.00187,0,"CM-15"
"CM","CM_15","Spiller-Fitz Hugh-Burke",1997,267455.3235,NA,39413.8306,249634.0285,31143.57856,912.5905939,0,321104.0282,0.17973983,NA,0.17212,0.73415,0.09183,0.00187,0,"CM-15"
"CM","CM_15","Spiller-Fitz Hugh-Burke",1998,276118.4345,NA,58526.19898,248982.448,44814.54237,1126.661103,0,353449.8504,0.223999585,NA,0.17212,0.73415,0.09183,0.00187,0,"CM-15"
"CM","CM_15","Spiller-Fitz Hugh-Burke",1999,219225.1924,NA,58373.43723,358277.211,55326.89255,508.7246452,0,472486.2654,0.180661009,NA,0.17212,0.73415,0.09183,0.00187,0,"CM-15"
"CM","CM_15","Spiller-Fitz Hugh-Burke",2000,210926.0737,NA,83997.37595,442319.919,24981.91667,489.8187398,0,551789.0304,0.078886897,NA,0.17212,0.73415,0.09183,0.00187,0,"CM-15"
"CM","CM_15","Spiller-Fitz Hugh-Burke",2001,256742.152,NA,103701.0209,199722.0312,24053.50528,297.1192412,0,327773.6765,0.244945683,NA,0.17212,0.73415,0.09183,0.00187,0,"CM-15"
"CM","CM_15","Spiller-Fitz Hugh-Burke",2002,247551.3168,NA,46824.43098,192299.694,14590.62028,171.646886,0,253886.3922,0.270069835,NA,0.17212,0.73415,0.09183,0.00187,0,"CM-15"
"CM","CM_15","Spiller-Fitz Hugh-Burke",2003,355566.5085,NA,45084.27887,116647.1074,8429.055369,394.4517036,0,170554.8934,0.271404532,NA,0.17212,0.73415,0.09183,0.00187,0,"CM-15"
"CM","CM_15","Spiller-Fitz Hugh-Burke",2004,395845.3194,NA,27347.68117,67387.46596,19370.32082,287.48751,0,114392.9555,0.342987216,NA,0.17212,0.73415,0.09183,0.00187,0,"CM-15"
