SpeciesId,CU,CU_Name,BroodYear,Escape,TR2,TR3,TR4,TR5,TR6,TR7,Total,Total ER,Age2,Age3,Age4,Age5,Age6,Age7
CM,CM_12,Smith Inlet,1972,101977.9538,NA,14583.04155,20575.70627,8892.525466,0,0,44051.27328,0.298836363,NA,0.4643,0.4852,0.05049,0,0
CM,CM_12,Smith Inlet,1973,150165.3386,NA,19689.4073,85455.60222,6308.20471,0,0,111453.2142,0.382518614,NA,0.4643,0.4852,0.05049,0,0
CM,CM_12,Smith Inlet,1974,61635.02704,NA,81774.60039,60620.7353,1394.902282,0,0,143790.238,0.274988085,NA,0.4643,0.4852,0.05049,0,0
CM,CM_12,Smith Inlet,1975,23533.37396,NA,58009.49588,13404.76504,6844.487581,0,0,78258.7485,0.250736172,NA,0.4643,0.4852,0.05049,0,0
CM,CM_12,Smith Inlet,1976,25774.64767,NA,12827.35451,65774.31916,6989.922085,0,0,85591.59576,0.392202684,NA,0.4643,0.4852,0.05049,0,0
CM,CM_12,Smith Inlet,1977,103098.5907,NA,62941.08901,67171.91911,8631.717696,0,0,138744.7258,0.414626603,NA,0.4643,0.4852,0.05049,0,0
CM,CM_12,Smith Inlet,1978,75249.4405,NA,64278.48731,82949.28552,4212.099841,0,0,151439.8727,0.397713862,NA,0.4643,0.4852,0.05049,0,0
CM,CM_12,Smith Inlet,1979,17418.85197,NA,79376.24334,40477.53699,2127.370536,0,0,121981.1509,0.369505773,NA,0.4643,0.4852,0.05049,0,0
CM,CM_12,Smith Inlet,1980,113991.5901,NA,38733.96625,20443.65585,3822.925302,0,0,63000.54741,0.159113766,NA,0.4643,0.4852,0.05049,0,0
CM,CM_12,Smith Inlet,1981,118200.5103,NA,19563.04495,36737.63828,9739.61408,0,0,66040.29731,0.146207398,NA,0.4643,0.4852,0.05049,0,0
CM,CM_12,Smith Inlet,1982,154327.0758,NA,35155.16375,93595.97449,5141.037478,0,0,133892.1757,0.097285809,NA,0.4643,0.4852,0.05049,0,0
CM,CM_12,Smith Inlet,1983,77689.65294,NA,89564.32596,49404.46394,5956.583832,0,0,144925.3737,0.06874226,NA,0.4643,0.4852,0.05049,0,0
CM,CM_12,Smith Inlet,1984,33671.362,NA,47276.36564,57241.72064,2710.708034,0,0,107228.7943,0.200859917,NA,0.4643,0.4852,0.05049,0,0
CM,CM_12,Smith Inlet,1985,54014.47654,NA,54776.03235,26049.42638,5656.584501,0,0,86482.04323,0.28662197,NA,0.4643,0.4852,0.05049,0,0
CM,CM_12,Smith Inlet,1986,136412.0892,NA,24927.34681,54358.77996,3617.486925,0,0,82903.61369,0.292841962,NA,0.4643,0.4852,0.05049,0,0
CM,CM_12,Smith Inlet,1987,80481.50677,NA,52017.27439,34763.41169,2423.06502,0,0,89203.7511,0.209593143,NA,0.4643,0.4852,0.05049,0,0
CM,CM_12,Smith Inlet,1988,92675.67446,NA,33265.97701,23285.22773,2164.896913,0,0,58716.10165,0.214449937,NA,0.4643,0.4852,0.05049,0,0
CM,CM_12,Smith Inlet,1989,31989.36658,NA,22282.21606,20804.27773,2583.618198,0,0,45670.11199,0.404161902,NA,0.4643,0.4852,0.05049,0,0
CM,CM_12,Smith Inlet,1990,70550.02526,NA,19908.13303,24828.11547,4669.800688,0,0,49406.04919,0.370278872,NA,0.4643,0.4852,0.05049,0,0
CM,CM_12,Smith Inlet,1991,47709.62566,NA,23758.64388,44875.96145,2366.045285,0,0,71000.65062,0.334107061,NA,0.4643,0.4852,0.05049,0,0
CM,CM_12,Smith Inlet,1992,23106.07925,NA,42942.92849,22737.27812,561.3423317,0,0,66241.54894,0.518532961,NA,0.4643,0.4852,0.05049,0,0
CM,CM_12,Smith Inlet,1993,27373.05556,NA,21757.8694,5394.400859,845.0924503,0,0,27997.36271,0.361602131,NA,0.4643,0.4852,0.05049,0,0
CM,CM_12,Smith Inlet,1994,31237.48694,NA,5162.036931,8121.189481,1365.80598,0,0,14649.03239,0.389545748,NA,0.4643,0.4852,0.05049,0,0
CM,CM_12,Smith Inlet,1995,75356.41178,NA,7771.369077,13125.15472,2576.822332,0,0,23473.34613,0.185244621,NA,0.4643,0.4852,0.05049,0,0
CM,CM_12,Smith Inlet,1996,46051.14053,NA,12559.78841,24762.80839,4817.494929,0,0,42140.09172,0.017296034,NA,0.4643,0.4852,0.05049,0,0
CM,CM_12,Smith Inlet,1997,11117.8913,NA,23696.14991,46295.27708,6704.811975,0,0,76696.23896,0,NA,0.4643,0.4852,0.05049,0,0
CM,CM_12,Smith Inlet,1998,16737.81839,NA,44301.10706,64432.06121,5872.861511,0,0,114606.0298,0,NA,0.4643,0.4852,0.05049,0,0
CM,CM_12,Smith Inlet,1999,27051.01961,NA,61656.64884,56437.1639,5237.957564,0,0,123331.7703,0,NA,0.4643,0.4852,0.05049,0,0
CM,CM_12,Smith Inlet,2000,51036.29099,NA,54006.1319,50335.84888,1973.727989,0,0,106315.7088,0,NA,0.4643,0.4852,0.05049,0,0
