,Yr,Area,River,Spawners,Returns,Recruits,Expl,Catch
1169,1962,12,CRACROFT CREEK,NA,NA,NA,NA,NA
1170,1963,12,CRACROFT CREEK,NA,NA,NA,NA,NA
1171,1964,12,CRACROFT CREEK,NA,NA,NA,NA,NA
1172,1965,12,CRACROFT CREEK,NA,NA,NA,NA,NA
1173,1966,12,CRACROFT CREEK,NA,NA,NA,NA,NA
1174,1967,12,CRACROFT CREEK,NA,NA,NA,NA,NA
1175,1968,12,CRACROFT CREEK,NA,NA,NA,NA,NA
1176,1969,12,CRACROFT CREEK,NA,NA,NA,NA,NA
1177,1970,12,CRACROFT CREEK,NA,NA,NA,NA,NA
1178,1971,12,CRACROFT CREEK,NA,NA,NA,NA,NA
1179,1972,12,CRACROFT CREEK,NA,NA,NA,NA,NA
1180,1973,12,CRACROFT CREEK,NA,NA,NA,NA,NA
1181,1974,12,CRACROFT CREEK,NA,NA,NA,NA,NA
1182,1975,12,CRACROFT CREEK,NA,NA,NA,NA,NA
1183,1976,12,CRACROFT CREEK,NA,NA,NA,NA,NA
1184,1977,12,CRACROFT CREEK,NA,NA,NA,NA,NA
1185,1978,12,CRACROFT CREEK,NA,NA,NA,NA,NA
1186,1979,12,CRACROFT CREEK,NA,NA,NA,NA,NA
1187,1980,12,CRACROFT CREEK,NA,NA,NA,NA,NA
1188,1981,12,CRACROFT CREEK,NA,NA,NA,NA,NA
1189,1982,12,CRACROFT CREEK,NA,NA,NA,NA,NA
1190,1983,12,CRACROFT CREEK,NA,NA,NA,NA,NA
1191,1984,12,CRACROFT CREEK,NA,NA,NA,NA,NA
1192,1985,12,CRACROFT CREEK,NA,NA,NA,NA,NA
1193,1986,12,CRACROFT CREEK,NA,NA,NA,NA,NA
1194,1987,12,CRACROFT CREEK,NA,NA,NA,NA,NA
1195,1988,12,CRACROFT CREEK,NA,NA,NA,NA,NA
1196,1989,12,CRACROFT CREEK,NA,NA,NA,NA,NA
1197,1990,12,CRACROFT CREEK,NA,NA,NA,NA,NA
1198,1991,12,CRACROFT CREEK,NA,NA,NA,NA,NA
1199,1992,12,CRACROFT CREEK,NA,NA,NA,NA,NA
1200,1993,12,CRACROFT CREEK,NA,NA,NA,NA,NA
1201,1994,12,CRACROFT CREEK,NA,NA,NA,NA,NA
1202,1995,12,CRACROFT CREEK,NA,NA,NA,NA,NA
1203,1996,12,CRACROFT CREEK,NA,NA,NA,NA,NA
1204,1997,12,CRACROFT CREEK,NA,NA,NA,NA,NA
1205,1998,12,CRACROFT CREEK,NA,NA,NA,NA,NA
1206,1999,12,CRACROFT CREEK,NA,NA,NA,NA,NA
1207,2000,12,CRACROFT CREEK,NA,NA,NA,NA,NA
1208,2001,12,CRACROFT CREEK,NA,NA,NA,NA,NA
1209,2002,12,CRACROFT CREEK,NA,NA,NA,NA,NA
1210,2003,12,CRACROFT CREEK,NA,NA,NA,NA,NA
1211,2004,12,CRACROFT CREEK,NA,NA,NA,NA,NA
1212,2005,12,CRACROFT CREEK,NA,NA,NA,NA,NA
1213,2006,12,CRACROFT CREEK,NA,NA,NA,NA,NA
1214,2007,12,CRACROFT CREEK,NA,NA,NA,NA,NA
1215,2008,12,CRACROFT CREEK,NA,NA,NA,NA,NA
1216,2009,12,CRACROFT CREEK,NA,NA,NA,NA,NA
1217,2010,12,CRACROFT CREEK,NA,NA,NA,NA,NA
1218,2011,12,CRACROFT CREEK,NA,NA,NA,NA,NA
1219,2012,12,CRACROFT CREEK,NA,NA,NA,NA,NA
1220,2013,12,CRACROFT CREEK,NA,NA,NA,NA,NA
1221,2014,12,CRACROFT CREEK,NA,NA,NA,NA,NA
1222,2015,12,CRACROFT CREEK,NA,NA,NA,NA,NA
1223,2016,12,CRACROFT CREEK,NA,NA,NA,NA,NA
1224,2017,12,CRACROFT CREEK,NA,NA,NA,NA,NA
1225,1950,12,CREASY BAY RIVER,NA,NA,NA,NA,NA
1226,1951,12,CREASY BAY RIVER,NA,NA,NA,NA,NA
1227,1952,12,CREASY BAY RIVER,NA,NA,NA,NA,NA
1228,1953,12,CREASY BAY RIVER,NA,NA,NA,NA,NA
1229,1954,12,CREASY BAY RIVER,NA,NA,NA,NA,NA
1230,1955,12,CREASY BAY RIVER,NA,NA,NA,NA,NA
1231,1956,12,CREASY BAY RIVER,NA,NA,NA,NA,NA
1232,1957,12,CREASY BAY RIVER,NA,NA,NA,NA,NA
1233,1958,12,CREASY BAY RIVER,NA,NA,NA,NA,NA
1234,1959,12,CREASY BAY RIVER,NA,NA,NA,NA,NA
1235,1960,12,CREASY BAY RIVER,NA,NA,NA,NA,NA
1236,1961,12,CREASY BAY RIVER,NA,NA,NA,NA,NA
1237,1962,12,CREASY BAY RIVER,NA,NA,NA,NA,NA
1238,1963,12,CREASY BAY RIVER,NA,NA,NA,NA,NA
1239,1964,12,CREASY BAY RIVER,NA,NA,NA,NA,NA
1240,1965,12,CREASY BAY RIVER,NA,NA,NA,NA,NA
1241,1966,12,CREASY BAY RIVER,NA,NA,NA,NA,NA
1242,1967,12,CREASY BAY RIVER,NA,NA,NA,NA,NA
1243,1968,12,CREASY BAY RIVER,NA,NA,NA,NA,NA
1244,1969,12,CREASY BAY RIVER,NA,NA,NA,NA,NA
1245,1970,12,CREASY BAY RIVER,NA,NA,NA,NA,NA
1246,1971,12,CREASY BAY RIVER,NA,NA,NA,NA,NA
1247,1972,12,CREASY BAY RIVER,NA,NA,NA,NA,NA
1248,1973,12,CREASY BAY RIVER,NA,NA,NA,NA,NA
1249,1974,12,CREASY BAY RIVER,NA,NA,NA,NA,NA
1250,1975,12,CREASY BAY RIVER,NA,NA,NA,NA,NA
1251,1976,12,CREASY BAY RIVER,NA,NA,NA,NA,NA
1252,1977,12,CREASY BAY RIVER,NA,NA,NA,NA,NA
1253,1978,12,CREASY BAY RIVER,NA,NA,NA,NA,NA
1254,1979,12,CREASY BAY RIVER,NA,NA,NA,NA,NA
1255,1980,12,CREASY BAY RIVER,NA,NA,NA,NA,NA
1256,1981,12,CREASY BAY RIVER,NA,NA,NA,NA,NA
1257,1982,12,CREASY BAY RIVER,NA,NA,NA,NA,NA
1258,1983,12,CREASY BAY RIVER,NA,NA,NA,NA,NA
1259,1984,12,CREASY BAY RIVER,NA,NA,NA,NA,NA
1260,1985,12,CREASY BAY RIVER,NA,NA,NA,NA,NA
1261,1986,12,CREASY BAY RIVER,NA,NA,NA,NA,NA
1262,1987,12,CREASY BAY RIVER,NA,NA,NA,NA,NA
1263,1988,12,CREASY BAY RIVER,NA,NA,NA,NA,NA
1264,1989,12,CREASY BAY RIVER,NA,NA,NA,NA,NA
1265,1990,12,CREASY BAY RIVER,NA,NA,NA,NA,NA
1266,1991,12,CREASY BAY RIVER,NA,NA,NA,NA,NA
1267,1992,12,CREASY BAY RIVER,NA,NA,NA,NA,NA
1268,1993,12,CREASY BAY RIVER,NA,NA,NA,NA,NA
1269,1994,12,CREASY BAY RIVER,NA,NA,NA,NA,NA
1270,1995,12,CREASY BAY RIVER,NA,NA,NA,NA,NA
1271,1996,12,CREASY BAY RIVER,NA,NA,NA,NA,NA
1272,1997,12,CREASY BAY RIVER,NA,NA,NA,NA,NA
1273,1998,12,CREASY BAY RIVER,NA,NA,NA,NA,NA
1274,1999,12,CREASY BAY RIVER,NA,NA,NA,NA,NA
1275,2000,12,CREASY BAY RIVER,NA,NA,NA,NA,NA
1276,2001,12,CREASY BAY RIVER,NA,NA,NA,NA,NA
1277,2002,12,CREASY BAY RIVER,NA,NA,NA,NA,NA
1278,2003,12,CREASY BAY RIVER,NA,NA,NA,NA,NA
1279,2004,12,CREASY BAY RIVER,NA,NA,NA,NA,NA
1280,2005,12,CREASY BAY RIVER,NA,NA,NA,NA,NA
1281,2006,12,CREASY BAY RIVER,NA,NA,NA,NA,NA
1282,2007,12,CREASY BAY RIVER,NA,NA,NA,NA,NA
1283,2008,12,CREASY BAY RIVER,NA,NA,NA,NA,NA
1284,2009,12,CREASY BAY RIVER,NA,NA,NA,NA,NA
1285,2010,12,CREASY BAY RIVER,NA,NA,NA,NA,NA
1286,2011,12,CREASY BAY RIVER,NA,NA,NA,NA,NA
1287,2012,12,CREASY BAY RIVER,NA,NA,NA,NA,NA
1288,2013,12,CREASY BAY RIVER,NA,NA,NA,NA,NA
1289,2014,12,CREASY BAY RIVER,NA,NA,NA,NA,NA
1290,2015,12,CREASY BAY RIVER,NA,NA,NA,NA,NA
1291,2016,12,CREASY BAY RIVER,NA,NA,NA,NA,NA
1292,2017,12,CREASY BAY RIVER,NA,NA,NA,NA,NA
1293,1950,12,CUTTER COVE CREEK,NA,NA,NA,NA,NA
1294,1951,12,CUTTER COVE CREEK,NA,NA,NA,NA,NA
1295,1952,12,CUTTER COVE CREEK,NA,NA,NA,NA,NA
1296,1953,12,CUTTER COVE CREEK,NA,NA,NA,NA,NA
1297,1954,12,CUTTER COVE CREEK,NA,NA,NA,NA,NA
1298,1955,12,CUTTER COVE CREEK,NA,NA,NA,NA,NA
1299,1956,12,CUTTER COVE CREEK,NA,NA,NA,NA,NA
1300,1957,12,CUTTER COVE CREEK,NA,NA,NA,NA,NA
1301,1958,12,CUTTER COVE CREEK,NA,NA,NA,NA,NA
1302,1959,12,CUTTER COVE CREEK,NA,NA,NA,NA,NA
1303,1960,12,CUTTER COVE CREEK,NA,NA,NA,NA,NA
1304,1961,12,CUTTER COVE CREEK,NA,NA,NA,NA,NA
1305,1962,12,CUTTER COVE CREEK,NA,NA,NA,NA,NA
1306,1963,12,CUTTER COVE CREEK,NA,NA,NA,NA,NA
1307,1964,12,CUTTER COVE CREEK,NA,NA,NA,NA,NA
1308,1965,12,CUTTER COVE CREEK,NA,NA,NA,NA,NA
1309,1966,12,CUTTER COVE CREEK,NA,NA,NA,NA,NA
1310,1967,12,CUTTER COVE CREEK,NA,NA,NA,NA,NA
1311,1968,12,CUTTER COVE CREEK,NA,NA,NA,NA,NA
1312,1969,12,CUTTER COVE CREEK,NA,NA,NA,NA,NA
1313,1970,12,CUTTER COVE CREEK,NA,NA,NA,NA,NA
1314,1971,12,CUTTER COVE CREEK,NA,NA,NA,NA,NA
1315,1972,12,CUTTER COVE CREEK,NA,NA,NA,NA,NA
1316,1973,12,CUTTER COVE CREEK,NA,NA,NA,NA,NA
1317,1974,12,CUTTER COVE CREEK,NA,NA,NA,NA,NA
1318,1975,12,CUTTER COVE CREEK,NA,NA,NA,NA,NA
1319,1976,12,CUTTER COVE CREEK,NA,NA,NA,NA,NA
1320,1977,12,CUTTER COVE CREEK,NA,NA,NA,NA,NA
1321,1978,12,CUTTER COVE CREEK,NA,NA,NA,NA,NA
1322,1979,12,CUTTER COVE CREEK,NA,NA,NA,NA,NA
1323,1980,12,CUTTER COVE CREEK,NA,NA,NA,NA,NA
1324,1981,12,CUTTER COVE CREEK,NA,NA,NA,NA,NA
1325,1982,12,CUTTER COVE CREEK,NA,NA,NA,NA,NA
1326,1983,12,CUTTER COVE CREEK,NA,NA,NA,NA,NA
1327,1984,12,CUTTER COVE CREEK,NA,NA,NA,NA,NA
1328,1985,12,CUTTER COVE CREEK,NA,NA,NA,NA,NA
1329,1986,12,CUTTER COVE CREEK,NA,NA,NA,NA,NA
1330,1987,12,CUTTER COVE CREEK,NA,NA,NA,NA,NA
1331,1988,12,CUTTER COVE CREEK,NA,NA,NA,NA,NA
1332,1989,12,CUTTER COVE CREEK,NA,NA,NA,NA,NA
1333,1990,12,CUTTER COVE CREEK,NA,NA,NA,NA,NA
1334,1991,12,CUTTER COVE CREEK,NA,NA,NA,NA,NA
1335,1992,12,CUTTER COVE CREEK,NA,NA,NA,NA,NA
1336,1993,12,CUTTER COVE CREEK,NA,NA,NA,NA,NA
1337,1994,12,CUTTER COVE CREEK,NA,NA,NA,NA,NA
1338,1995,12,CUTTER COVE CREEK,NA,NA,NA,NA,NA
1339,1996,12,CUTTER COVE CREEK,NA,NA,NA,NA,NA
1340,1997,12,CUTTER COVE CREEK,NA,NA,NA,NA,NA
1341,1998,12,CUTTER COVE CREEK,NA,NA,NA,NA,NA
1342,1999,12,CUTTER COVE CREEK,NA,NA,NA,NA,NA
1343,2000,12,CUTTER COVE CREEK,NA,NA,NA,NA,NA
1344,2001,12,CUTTER COVE CREEK,NA,NA,NA,NA,NA
1345,2002,12,CUTTER COVE CREEK,NA,NA,NA,NA,NA
1346,2003,12,CUTTER COVE CREEK,NA,NA,NA,NA,NA
1347,2004,12,CUTTER COVE CREEK,NA,NA,NA,NA,NA
1348,2005,12,CUTTER COVE CREEK,NA,NA,NA,NA,NA
1349,2006,12,CUTTER COVE CREEK,NA,NA,NA,NA,NA
1350,2007,12,CUTTER COVE CREEK,NA,NA,NA,NA,NA
1351,2008,12,CUTTER COVE CREEK,NA,NA,NA,NA,NA
1352,2009,12,CUTTER COVE CREEK,NA,NA,NA,NA,NA
1353,2010,12,CUTTER COVE CREEK,NA,NA,NA,NA,NA
1354,2011,12,CUTTER COVE CREEK,NA,NA,NA,NA,NA
1355,2012,12,CUTTER COVE CREEK,NA,NA,NA,NA,NA
1356,2013,12,CUTTER COVE CREEK,NA,NA,NA,NA,NA
1357,2014,12,CUTTER COVE CREEK,NA,NA,NA,NA,NA
1358,2015,12,CUTTER COVE CREEK,NA,NA,NA,NA,NA
1359,2016,12,CUTTER COVE CREEK,NA,NA,NA,NA,NA
1360,2017,12,CUTTER COVE CREEK,NA,NA,NA,NA,NA
1361,1950,12,ELLEN COVE CREEK,NA,NA,NA,NA,NA
1362,1951,12,ELLEN COVE CREEK,NA,NA,NA,NA,NA
1363,1952,12,ELLEN COVE CREEK,NA,NA,NA,NA,NA
1364,1953,12,ELLEN COVE CREEK,NA,NA,NA,NA,NA
1365,1954,12,ELLEN COVE CREEK,NA,NA,NA,NA,NA
1366,1955,12,ELLEN COVE CREEK,NA,NA,NA,NA,NA
1367,1956,12,ELLEN COVE CREEK,NA,NA,NA,NA,NA
1368,1957,12,ELLEN COVE CREEK,NA,NA,NA,NA,NA
1369,1958,12,ELLEN COVE CREEK,NA,NA,NA,NA,NA
1370,1959,12,ELLEN COVE CREEK,NA,NA,NA,NA,NA
1371,1960,12,ELLEN COVE CREEK,NA,NA,NA,NA,NA
1372,1961,12,ELLEN COVE CREEK,NA,NA,NA,NA,NA
1373,1962,12,ELLEN COVE CREEK,NA,NA,NA,NA,NA
1374,1963,12,ELLEN COVE CREEK,NA,NA,NA,NA,NA
1375,1964,12,ELLEN COVE CREEK,NA,NA,NA,NA,NA
1376,1965,12,ELLEN COVE CREEK,NA,NA,NA,NA,NA
1377,1966,12,ELLEN COVE CREEK,NA,NA,NA,NA,NA
1378,1967,12,ELLEN COVE CREEK,NA,NA,NA,NA,NA
1379,1968,12,ELLEN COVE CREEK,NA,NA,NA,NA,NA
1380,1969,12,ELLEN COVE CREEK,NA,NA,NA,NA,NA
1381,1970,12,ELLEN COVE CREEK,NA,NA,NA,NA,NA
1382,1971,12,ELLEN COVE CREEK,NA,NA,NA,NA,NA
1383,1972,12,ELLEN COVE CREEK,NA,NA,NA,NA,NA
1384,1973,12,ELLEN COVE CREEK,NA,NA,NA,NA,NA
1385,1974,12,ELLEN COVE CREEK,NA,NA,NA,NA,NA
1386,1975,12,ELLEN COVE CREEK,NA,NA,NA,NA,NA
1387,1976,12,ELLEN COVE CREEK,NA,NA,NA,NA,NA
1388,1977,12,ELLEN COVE CREEK,NA,NA,NA,NA,NA
1389,1978,12,ELLEN COVE CREEK,NA,NA,NA,NA,NA
1390,1979,12,ELLEN COVE CREEK,NA,NA,NA,NA,NA
1391,1980,12,ELLEN COVE CREEK,NA,NA,NA,NA,NA
1392,1981,12,ELLEN COVE CREEK,NA,NA,NA,NA,NA
1393,1982,12,ELLEN COVE CREEK,NA,NA,NA,NA,NA
1394,1983,12,ELLEN COVE CREEK,NA,NA,NA,NA,NA
1395,1984,12,ELLEN COVE CREEK,NA,NA,NA,NA,NA
1396,1985,12,ELLEN COVE CREEK,NA,NA,NA,NA,NA
1397,1986,12,ELLEN COVE CREEK,NA,NA,NA,NA,NA
1398,1987,12,ELLEN COVE CREEK,NA,NA,NA,NA,NA
1399,1988,12,ELLEN COVE CREEK,NA,NA,NA,NA,NA
1400,1989,12,ELLEN COVE CREEK,NA,NA,NA,NA,NA
1401,1990,12,ELLEN COVE CREEK,NA,NA,NA,NA,NA
1402,1991,12,ELLEN COVE CREEK,NA,NA,NA,NA,NA
1403,1992,12,ELLEN COVE CREEK,NA,NA,NA,NA,NA
1404,1993,12,ELLEN COVE CREEK,NA,NA,NA,NA,NA
1405,1994,12,ELLEN COVE CREEK,NA,NA,NA,NA,NA
1406,1995,12,ELLEN COVE CREEK,30,NA,NA,NA,NA
1407,1996,12,ELLEN COVE CREEK,NA,NA,NA,NA,NA
1408,1997,12,ELLEN COVE CREEK,NA,NA,NA,NA,NA
1409,1998,12,ELLEN COVE CREEK,NA,NA,NA,NA,NA
1410,1999,12,ELLEN COVE CREEK,NA,NA,NA,NA,NA
1411,2000,12,ELLEN COVE CREEK,NA,NA,NA,NA,NA
1412,2001,12,ELLEN COVE CREEK,NA,NA,NA,NA,NA
1413,2002,12,ELLEN COVE CREEK,NA,NA,NA,NA,NA
1414,2003,12,ELLEN COVE CREEK,NA,NA,NA,NA,NA
1415,2004,12,ELLEN COVE CREEK,NA,NA,NA,NA,NA
1416,2005,12,ELLEN COVE CREEK,NA,NA,NA,NA,NA
1417,2006,12,ELLEN COVE CREEK,NA,NA,NA,NA,NA
1418,2007,12,ELLEN COVE CREEK,NA,NA,NA,NA,NA
1419,2008,12,ELLEN COVE CREEK,NA,NA,NA,NA,NA
1420,2009,12,ELLEN COVE CREEK,NA,NA,NA,NA,NA
1421,2010,12,ELLEN COVE CREEK,NA,NA,NA,NA,NA
1422,2011,12,ELLEN COVE CREEK,NA,NA,NA,NA,NA
1423,2012,12,ELLEN COVE CREEK,NA,NA,NA,NA,NA
1424,2013,12,ELLEN COVE CREEK,NA,NA,NA,NA,NA
1425,2014,12,ELLEN COVE CREEK,NA,NA,NA,NA,NA
1426,2015,12,ELLEN COVE CREEK,NA,NA,NA,NA,NA
1427,2016,12,ELLEN COVE CREEK,NA,NA,NA,NA,NA
1428,2017,12,ELLEN COVE CREEK,NA,NA,NA,NA,NA
1429,1950,12,EMBLEY CREEK,200,NA,NA,NA,NA
1430,1951,12,EMBLEY CREEK,750,NA,NA,NA,NA
1431,1952,12,EMBLEY CREEK,3500,NA,NA,NA,NA
1432,1953,12,EMBLEY CREEK,1500,NA,NA,NA,NA
1433,1954,12,EMBLEY CREEK,400,NA,NA,NA,NA
1434,1955,12,EMBLEY CREEK,3500,NA,NA,NA,NA
1435,1956,12,EMBLEY CREEK,3500,NA,NA,NA,NA
1436,1957,12,EMBLEY CREEK,1500,NA,NA,NA,NA
1437,1958,12,EMBLEY CREEK,3500,NA,NA,NA,NA
1438,1959,12,EMBLEY CREEK,25,NA,NA,NA,NA
1439,1960,12,EMBLEY CREEK,200,NA,NA,NA,NA
1440,1961,12,EMBLEY CREEK,25,NA,NA,NA,NA
1441,1962,12,EMBLEY CREEK,400,NA,NA,NA,NA
1442,1963,12,EMBLEY CREEK,NA,NA,NA,NA,NA
1443,1964,12,EMBLEY CREEK,NA,NA,NA,NA,NA
1444,1965,12,EMBLEY CREEK,200,NA,NA,NA,NA
1445,1966,12,EMBLEY CREEK,750,NA,NA,NA,NA
1446,1967,12,EMBLEY CREEK,400,NA,NA,NA,NA
1447,1968,12,EMBLEY CREEK,800,NA,NA,NA,NA
1448,1969,12,EMBLEY CREEK,NA,NA,NA,NA,NA
1449,1970,12,EMBLEY CREEK,750,NA,NA,NA,NA
1450,1971,12,EMBLEY CREEK,400,NA,NA,NA,NA
1451,1972,12,EMBLEY CREEK,1500,NA,208,NA,NA
1452,1973,12,EMBLEY CREEK,200,NA,5000,NA,NA
1453,1974,12,EMBLEY CREEK,500,NA,909,NA,NA
1454,1975,12,EMBLEY CREEK,75,208,2083,0.639423077,47.95673077
1455,1976,12,EMBLEY CREEK,400,5000,982,0.92,368
1456,1977,12,EMBLEY CREEK,200,909,NA,0.779977998,155.9955996
1457,1978,12,EMBLEY CREEK,500,2083,519,0.759961594,379.9807969
1458,1979,12,EMBLEY CREEK,275,982,200,0.719959267,197.9887984
1459,1980,12,EMBLEY CREEK,NA,NA,NA,NA,NA
1460,1981,12,EMBLEY CREEK,140,519,NA,0.730250482,102.2350674
1461,1982,12,EMBLEY CREEK,50,200,556,0.75,37.5
1462,1983,12,EMBLEY CREEK,85,NA,2069,NA,NA
1463,1984,12,EMBLEY CREEK,NA,NA,NA,NA,NA
1464,1985,12,EMBLEY CREEK,100,556,200,0.820143885,82.01438849
1465,1986,12,EMBLEY CREEK,600,2069,NA,0.710004833,426.0029
1466,1987,12,EMBLEY CREEK,NA,NA,NA,NA,NA
1467,1988,12,EMBLEY CREEK,50,200,3281,0.75,37.5
1468,1989,12,EMBLEY CREEK,NA,NA,NA,NA,NA
1469,1990,12,EMBLEY CREEK,2000,NA,NA,NA,NA
1470,1991,12,EMBLEY CREEK,1050,3281,2885,0.679975617,713.974398
1471,1992,12,EMBLEY CREEK,NA,NA,NA,NA,NA
1472,1993,12,EMBLEY CREEK,NA,NA,NA,NA,NA
1473,1994,12,EMBLEY CREEK,750,2885,NA,0.740034662,555.0259965
1474,1995,12,EMBLEY CREEK,NA,NA,NA,NA,NA
1475,1996,12,EMBLEY CREEK,30,NA,NA,NA,NA
1476,1997,12,EMBLEY CREEK,NA,NA,NA,NA,NA
1477,1998,12,EMBLEY CREEK,25,NA,NA,NA,NA
1478,1999,12,EMBLEY CREEK,NA,NA,NA,NA,NA
1479,2000,12,EMBLEY CREEK,150,NA,NA,NA,NA
1480,2001,12,EMBLEY CREEK,NA,NA,NA,NA,NA
1481,2002,12,EMBLEY CREEK,25,NA,NA,NA,NA
1482,2003,12,EMBLEY CREEK,NA,NA,NA,NA,NA
1483,2004,12,EMBLEY CREEK,NA,NA,NA,NA,NA
1484,2005,12,EMBLEY CREEK,NA,NA,NA,NA,NA
1485,2006,12,EMBLEY CREEK,NA,NA,NA,NA,NA
1486,2007,12,EMBLEY CREEK,NA,NA,NA,NA,NA
1487,2008,12,EMBLEY CREEK,2,NA,NA,NA,NA
1488,2009,12,EMBLEY CREEK,26,NA,NA,NA,NA
1489,2010,12,EMBLEY CREEK,295,NA,NA,NA,NA
1490,2011,12,EMBLEY CREEK,NA,NA,NA,NA,NA
1491,2012,12,EMBLEY CREEK,250,NA,NA,NA,NA
1492,2013,12,EMBLEY CREEK,360,NA,NA,NA,NA
1493,2014,12,EMBLEY CREEK,1511,NA,NA,NA,NA
1494,2015,12,EMBLEY CREEK,NA,NA,NA,NA,NA
1495,2016,12,EMBLEY CREEK,35,NA,NA,NA,NA
1496,2017,12,EMBLEY CREEK,33,NA,NA,NA,NA
1497,1950,12,EVE RIVER,NA,NA,NA,NA,NA
1498,1951,12,EVE RIVER,NA,NA,NA,NA,NA
1499,1952,12,EVE RIVER,NA,NA,NA,NA,NA
1500,1953,12,EVE RIVER,NA,NA,NA,NA,NA
1501,1954,12,EVE RIVER,NA,NA,NA,NA,NA
1502,1955,12,EVE RIVER,NA,NA,NA,NA,NA
1503,1956,12,EVE RIVER,NA,NA,NA,NA,NA
1504,1957,12,EVE RIVER,NA,NA,NA,NA,NA
1505,1958,12,EVE RIVER,NA,NA,NA,NA,NA
1506,1959,12,EVE RIVER,NA,NA,NA,NA,NA
1507,1960,12,EVE RIVER,NA,NA,NA,NA,NA
1508,1961,12,EVE RIVER,NA,NA,NA,NA,NA
1509,1962,12,EVE RIVER,NA,NA,NA,NA,NA
1510,1963,12,EVE RIVER,NA,NA,NA,NA,NA
1511,1964,12,EVE RIVER,NA,NA,NA,NA,NA
1512,1965,12,EVE RIVER,NA,NA,NA,NA,NA
1513,1966,12,EVE RIVER,NA,NA,NA,NA,NA
1514,1967,12,EVE RIVER,NA,NA,NA,NA,NA
1515,1968,12,EVE RIVER,NA,NA,NA,NA,NA
1516,1969,12,EVE RIVER,NA,NA,NA,NA,NA
1517,1970,12,EVE RIVER,NA,NA,NA,NA,NA
1518,1971,12,EVE RIVER,NA,NA,NA,NA,NA
1519,1972,12,EVE RIVER,NA,NA,NA,NA,NA
1520,1973,12,EVE RIVER,NA,NA,NA,NA,NA
1521,1974,12,EVE RIVER,NA,NA,NA,NA,NA
1522,1975,12,EVE RIVER,NA,NA,NA,NA,NA
1523,1976,12,EVE RIVER,NA,NA,NA,NA,NA
1524,1977,12,EVE RIVER,NA,NA,NA,NA,NA
1525,1978,12,EVE RIVER,NA,NA,NA,NA,NA
1526,1979,12,EVE RIVER,NA,NA,NA,NA,NA
1527,1980,12,EVE RIVER,NA,NA,NA,NA,NA
1528,1981,12,EVE RIVER,NA,NA,NA,NA,NA
1529,1982,12,EVE RIVER,NA,NA,NA,NA,NA
1530,1983,12,EVE RIVER,NA,NA,NA,NA,NA
1531,1984,12,EVE RIVER,NA,NA,NA,NA,NA
1532,1985,12,EVE RIVER,NA,NA,NA,NA,NA
1533,1986,12,EVE RIVER,NA,NA,NA,NA,NA
1534,1987,12,EVE RIVER,NA,NA,NA,NA,NA
1535,1988,12,EVE RIVER,NA,NA,NA,NA,NA
1536,1989,12,EVE RIVER,NA,NA,NA,NA,NA
1537,1990,12,EVE RIVER,NA,NA,NA,NA,NA
1538,1991,12,EVE RIVER,NA,NA,NA,NA,NA
1539,1992,12,EVE RIVER,NA,NA,NA,NA,NA
1540,1993,12,EVE RIVER,NA,NA,NA,NA,NA
1541,1994,12,EVE RIVER,NA,NA,NA,NA,NA
1542,1995,12,EVE RIVER,80,NA,NA,NA,NA
1543,1996,12,EVE RIVER,2,NA,NA,NA,NA
1544,1997,12,EVE RIVER,NA,NA,NA,NA,NA
1545,1998,12,EVE RIVER,NA,NA,NA,NA,NA
1546,1999,12,EVE RIVER,NA,NA,NA,NA,NA
1547,2000,12,EVE RIVER,NA,NA,NA,NA,NA
1548,2001,12,EVE RIVER,1000,NA,NA,NA,NA
1549,2002,12,EVE RIVER,NA,NA,NA,NA,NA
1550,2003,12,EVE RIVER,NA,NA,NA,NA,NA
1551,2004,12,EVE RIVER,NA,NA,NA,NA,NA
1552,2005,12,EVE RIVER,NA,NA,NA,NA,NA
1553,2006,12,EVE RIVER,NA,NA,NA,NA,NA
1554,2007,12,EVE RIVER,NA,NA,NA,NA,NA
1555,2008,12,EVE RIVER,NA,NA,NA,NA,NA
1556,2009,12,EVE RIVER,NA,NA,NA,NA,NA
1557,2010,12,EVE RIVER,NA,NA,NA,NA,NA
1558,2011,12,EVE RIVER,NA,NA,NA,NA,NA
1559,2012,12,EVE RIVER,NA,NA,NA,NA,NA
1560,2013,12,EVE RIVER,NA,NA,NA,NA,NA
1561,2014,12,EVE RIVER,NA,NA,NA,NA,NA
1562,2015,12,EVE RIVER,NA,NA,NA,NA,NA
1563,2016,12,EVE RIVER,NA,NA,NA,NA,NA
1564,2017,12,EVE RIVER,NA,NA,NA,NA,NA
1565,1950,12,FRANKLIN RIVER,NA,NA,NA,NA,NA
1566,1951,12,FRANKLIN RIVER,NA,NA,NA,NA,NA
1567,1952,12,FRANKLIN RIVER,NA,NA,NA,NA,NA
1568,1953,12,FRANKLIN RIVER,1500,NA,NA,NA,NA
1569,1954,12,FRANKLIN RIVER,750,NA,NA,NA,NA
1570,1955,12,FRANKLIN RIVER,1500,NA,NA,NA,NA
1571,1956,12,FRANKLIN RIVER,1500,NA,NA,NA,NA
1572,1957,12,FRANKLIN RIVER,1500,NA,NA,NA,NA
1573,1958,12,FRANKLIN RIVER,1500,NA,NA,NA,NA
1574,1959,12,FRANKLIN RIVER,1500,NA,NA,NA,NA
