,Yr,Area,River,Spawners,Returns,Recruits,Expl,Catch
87,1968,12,AHNUHATI RIVER,750,NA,NA,NA,NA
88,1969,12,AHNUHATI RIVER,NA,NA,NA,NA,NA
89,1970,12,AHNUHATI RIVER,400,NA,NA,NA,NA
90,1971,12,AHNUHATI RIVER,25,NA,NA,NA,NA
91,1972,12,AHNUHATI RIVER,400,NA,1111,NA,NA
92,1973,12,AHNUHATI RIVER,400,NA,5000,NA,NA
93,1974,12,AHNUHATI RIVER,400,NA,1818,NA,NA
94,1975,12,AHNUHATI RIVER,400,1111,2083,0.639963996,255.9855986
95,1976,12,AHNUHATI RIVER,400,5000,1607,0.92,368
96,1977,12,AHNUHATI RIVER,400,1818,1000,0.779977998,311.9911991
97,1978,12,AHNUHATI RIVER,500,2083,7778,0.759961594,379.9807969
98,1979,12,AHNUHATI RIVER,450,1607,NA,0.719975109,323.988799
99,1980,12,AHNUHATI RIVER,200,1000,4810,0.8,160
100,1981,12,AHNUHATI RIVER,2100,7778,1613,0.730007714,1533.0162
101,1982,12,AHNUHATI RIVER,NA,NA,NA,NA,NA
102,1983,12,AHNUHATI RIVER,1010,4810,345,0.79002079,797.9209979
103,1984,12,AHNUHATI RIVER,500,1613,375,0.690018599,345.0092994
104,1985,12,AHNUHATI RIVER,1500,NA,800,NA,NA
105,1986,12,AHNUHATI RIVER,100,345,606,0.710144928,71.01449275
106,1987,12,AHNUHATI RIVER,75,375,NA,0.8,60
107,1988,12,AHNUHATI RIVER,100,800,3750,0.875,87.5
108,1989,12,AHNUHATI RIVER,200,606,900,0.669966997,133.9933993
109,1990,12,AHNUHATI RIVER,NA,NA,NA,NA,NA
110,1991,12,AHNUHATI RIVER,1200,3750,5000,0.68,816
111,1992,12,AHNUHATI RIVER,207,900,524,0.77,159.39
112,1993,12,AHNUHATI RIVER,1370,NA,NA,NA,NA
113,1994,12,AHNUHATI RIVER,1300,5000,1930,0.74,962
114,1995,12,AHNUHATI RIVER,420,524,2680,0.198473282,83.35877863
115,1996,12,AHNUHATI RIVER,NA,NA,NA,NA,NA
116,1997,12,AHNUHATI RIVER,1100,1930,6186,0.430051813,473.0569948
117,1998,12,AHNUHATI RIVER,2600,2680,NA,0.029850746,77.6119403
118,1999,12,AHNUHATI RIVER,1700,NA,2857,NA,NA
119,2000,12,AHNUHATI RIVER,6000,6186,2443,0.030067895,180.4073715
120,2001,12,AHNUHATI RIVER,4500,NA,NA,NA,NA
121,2002,12,AHNUHATI RIVER,2686,2857,853,0.059852993,160.7651383
122,2003,12,AHNUHATI RIVER,2345,2443,715,0.040114613,94.06876791
123,2004,12,AHNUHATI RIVER,3324,NA,104,NA,NA
124,2005,12,AHNUHATI RIVER,819,853,1094,0.03985932,32.64478312
125,2006,12,AHNUHATI RIVER,686,715,1710,0.040559441,27.82377622
126,2007,12,AHNUHATI RIVER,100,104,NA,NA,NA
127,2008,12,AHNUHATI RIVER,1028,1094,NA,NA,NA
128,2009,12,AHNUHATI RIVER,1642,1710,NA,NA,NA
129,2010,12,AHNUHATI RIVER,2061,NA,NA,NA,NA
130,2011,12,AHNUHATI RIVER,500,NA,NA,NA,NA
131,2012,12,AHNUHATI RIVER,500,NA,NA,NA,NA
132,2013,12,AHNUHATI RIVER,3561,NA,NA,NA,NA
133,2014,12,AHNUHATI RIVER,1968,NA,NA,NA,NA
134,2015,12,AHNUHATI RIVER,NA,NA,NA,NA,NA
135,2016,12,AHNUHATI RIVER,NA,NA,NA,NA,NA
136,2017,12,AHNUHATI RIVER,NA,NA,NA,NA,NA
137,1950,12,AHTA RIVER,NA,NA,NA,NA,NA
138,1951,12,AHTA RIVER,NA,NA,NA,NA,NA
139,1952,12,AHTA RIVER,NA,NA,NA,NA,NA
140,1953,12,AHTA RIVER,400,NA,NA,NA,NA
141,1954,12,AHTA RIVER,1500,NA,NA,NA,NA
142,1955,12,AHTA RIVER,1500,NA,NA,NA,NA
143,1956,12,AHTA RIVER,400,NA,NA,NA,NA
144,1957,12,AHTA RIVER,3500,NA,NA,NA,NA
145,1958,12,AHTA RIVER,1500,NA,NA,NA,NA
146,1959,12,AHTA RIVER,400,NA,NA,NA,NA
147,1960,12,AHTA RIVER,750,NA,NA,NA,NA
148,1961,12,AHTA RIVER,750,NA,NA,NA,NA
149,1962,12,AHTA RIVER,750,NA,NA,NA,NA
150,1963,12,AHTA RIVER,400,NA,NA,NA,NA
151,1964,12,AHTA RIVER,200,NA,NA,NA,NA
152,1965,12,AHTA RIVER,400,NA,NA,NA,NA
153,1966,12,AHTA RIVER,400,NA,NA,NA,NA
154,1967,12,AHTA RIVER,200,NA,NA,NA,NA
155,1968,12,AHTA RIVER,200,NA,NA,NA,NA
156,1969,12,AHTA RIVER,NA,NA,NA,NA,NA
157,1970,12,AHTA RIVER,NA,NA,NA,NA,NA
158,1971,12,AHTA RIVER,25,NA,NA,NA,NA
159,1972,12,AHTA RIVER,200,NA,111,NA,NA
160,1973,12,AHTA RIVER,200,NA,313,NA,NA
161,1974,12,AHTA RIVER,400,NA,114,NA,NA
162,1975,12,AHTA RIVER,40,111,1042,0.63963964,25.58558559
163,1976,12,AHTA RIVER,25,313,2143,0.920127796,23.00319489
164,1977,12,AHTA RIVER,25,114,2500,0.780701754,19.51754386
165,1978,12,AHTA RIVER,250,1042,741,0.760076775,190.0191939
166,1979,12,AHTA RIVER,600,2143,NA,0.720018665,432.0111993
167,1980,12,AHTA RIVER,500,2500,NA,0.8,400
168,1981,12,AHTA RIVER,200,741,NA,0.730094467,146.0188934
169,1982,12,AHTA RIVER,NA,NA,NA,NA,NA
170,1983,12,AHTA RIVER,NA,NA,NA,NA,NA
171,1984,12,AHTA RIVER,NA,NA,NA,NA,NA
172,1985,12,AHTA RIVER,300,NA,300,NA,NA
173,1986,12,AHTA RIVER,100,NA,121,NA,NA
174,1987,12,AHTA RIVER,100,NA,1538,NA,NA
175,1988,12,AHTA RIVER,75,300,1563,0.75,56.25
176,1989,12,AHTA RIVER,40,121,783,0.669421488,26.7768595
177,1990,12,AHTA RIVER,400,1538,5980,0.739921977,295.9687906
178,1991,12,AHTA RIVER,500,1563,1731,0.680102367,340.0511836
179,1992,12,AHTA RIVER,180,783,2429,0.770114943,138.6206897
180,1993,12,AHTA RIVER,125,5980,921,0.97909699,122.3871237
181,1994,12,AHTA RIVER,450,1731,54,0.740034662,333.0155979
182,1995,12,AHTA RIVER,600,2429,309,0.752984767,451.7908604
183,1996,12,AHTA RIVER,396,921,309,0.570032573,225.732899
184,1997,12,AHTA RIVER,31,54,412,0.425925926,13.2037037
185,1998,12,AHTA RIVER,300,309,NA,0.029126214,8.737864078
186,1999,12,AHTA RIVER,300,309,88,0.029126214,8.737864078
187,2000,12,AHTA RIVER,400,412,27,0.029126214,11.65048544
188,2001,12,AHTA RIVER,400,NA,NA,NA,NA
189,2002,12,AHTA RIVER,83,88,351,0.056818182,4.715909091
190,2003,12,AHTA RIVER,26,27,36,0.037037037,0.962962963
191,2004,12,AHTA RIVER,444,NA,18,NA,NA
192,2005,12,AHTA RIVER,337,351,44,0.03988604,13.44159544
193,2006,12,AHTA RIVER,35,36,53,0.027777778,0.972222222
194,2007,12,AHTA RIVER,17,18,NA,NA,NA
195,2008,12,AHTA RIVER,41,44,NA,NA,NA
196,2009,12,AHTA RIVER,51,53,NA,NA,NA
197,2010,12,AHTA RIVER,87,NA,NA,NA,NA
198,2011,12,AHTA RIVER,898,NA,NA,NA,NA
199,2012,12,AHTA RIVER,1067,NA,NA,NA,NA
200,2013,12,AHTA RIVER,2985,NA,NA,NA,NA
201,2014,12,AHTA RIVER,1686,NA,NA,NA,NA
202,2015,12,AHTA RIVER,2812,NA,NA,NA,NA
203,2016,12,AHTA RIVER,97,NA,NA,NA,NA
204,2017,12,AHTA RIVER,297,NA,NA,NA,NA
205,1950,12,AHTA VALLEY CREEK,NA,NA,NA,NA,NA
206,1951,12,AHTA VALLEY CREEK,NA,NA,NA,NA,NA
207,1952,12,AHTA VALLEY CREEK,NA,NA,NA,NA,NA
208,1953,12,AHTA VALLEY CREEK,3500,NA,NA,NA,NA
209,1954,12,AHTA VALLEY CREEK,750,NA,NA,NA,NA
210,1955,12,AHTA VALLEY CREEK,3500,NA,NA,NA,NA
211,1956,12,AHTA VALLEY CREEK,3500,NA,NA,NA,NA
212,1957,12,AHTA VALLEY CREEK,3500,NA,NA,NA,NA
213,1958,12,AHTA VALLEY CREEK,1500,NA,NA,NA,NA
214,1959,12,AHTA VALLEY CREEK,NA,NA,NA,NA,NA
215,1960,12,AHTA VALLEY CREEK,NA,NA,NA,NA,NA
216,1961,12,AHTA VALLEY CREEK,1500,NA,NA,NA,NA
217,1962,12,AHTA VALLEY CREEK,3500,NA,NA,NA,NA
218,1963,12,AHTA VALLEY CREEK,750,NA,NA,NA,NA
219,1964,12,AHTA VALLEY CREEK,750,NA,NA,NA,NA
220,1965,12,AHTA VALLEY CREEK,750,NA,NA,NA,NA
221,1966,12,AHTA VALLEY CREEK,750,NA,NA,NA,NA
222,1967,12,AHTA VALLEY CREEK,75,NA,NA,NA,NA
223,1968,12,AHTA VALLEY CREEK,75,NA,NA,NA,NA
224,1969,12,AHTA VALLEY CREEK,NA,NA,NA,NA,NA
225,1970,12,AHTA VALLEY CREEK,25,NA,NA,NA,NA
226,1971,12,AHTA VALLEY CREEK,1500,NA,NA,NA,NA
227,1972,12,AHTA VALLEY CREEK,75,NA,4167,NA,NA
228,1973,12,AHTA VALLEY CREEK,75,NA,5000,NA,NA
229,1974,12,AHTA VALLEY CREEK,200,NA,1818,NA,NA
230,1975,12,AHTA VALLEY CREEK,1500,4167,1458,0.640028798,960.0431965
231,1976,12,AHTA VALLEY CREEK,400,5000,714,0.92,368
232,1977,12,AHTA VALLEY CREEK,400,1818,3000,0.779977998,311.9911991
233,1978,12,AHTA VALLEY CREEK,350,1458,370,0.75994513,265.9807956
234,1979,12,AHTA VALLEY CREEK,200,714,NA,0.719887955,143.977591
235,1980,12,AHTA VALLEY CREEK,600,3000,NA,0.8,480
236,1981,12,AHTA VALLEY CREEK,100,370,NA,0.72972973,72.97297297
237,1982,12,AHTA VALLEY CREEK,NA,NA,NA,NA,NA
238,1983,12,AHTA VALLEY CREEK,NA,NA,NA,NA,NA
239,1984,12,AHTA VALLEY CREEK,NA,NA,NA,NA,NA
240,1985,12,AHTA VALLEY CREEK,NA,NA,NA,NA,NA
241,1986,12,AHTA VALLEY CREEK,NA,NA,NA,NA,NA
242,1987,12,AHTA VALLEY CREEK,NA,NA,NA,NA,NA
243,1988,12,AHTA VALLEY CREEK,NA,NA,NA,NA,NA
244,1989,12,AHTA VALLEY CREEK,NA,NA,NA,NA,NA
245,1990,12,AHTA VALLEY CREEK,NA,NA,NA,NA,NA
246,1991,12,AHTA VALLEY CREEK,NA,NA,NA,NA,NA
247,1992,12,AHTA VALLEY CREEK,NA,NA,NA,NA,NA
248,1993,12,AHTA VALLEY CREEK,NA,NA,NA,NA,NA
249,1994,12,AHTA VALLEY CREEK,NA,NA,NA,NA,NA
250,1995,12,AHTA VALLEY CREEK,NA,NA,NA,NA,NA
251,1996,12,AHTA VALLEY CREEK,4,NA,NA,NA,NA
252,1997,12,AHTA VALLEY CREEK,50,NA,NA,NA,NA
253,1998,12,AHTA VALLEY CREEK,NA,NA,NA,NA,NA
254,1999,12,AHTA VALLEY CREEK,NA,NA,NA,NA,NA
255,2000,12,AHTA VALLEY CREEK,NA,NA,NA,NA,NA
256,2001,12,AHTA VALLEY CREEK,NA,NA,NA,NA,NA
257,2002,12,AHTA VALLEY CREEK,NA,NA,NA,NA,NA
258,2003,12,AHTA VALLEY CREEK,NA,NA,NA,NA,NA
259,2004,12,AHTA VALLEY CREEK,NA,NA,NA,NA,NA
260,2005,12,AHTA VALLEY CREEK,NA,NA,NA,NA,NA
261,2006,12,AHTA VALLEY CREEK,NA,NA,NA,NA,NA
262,2007,12,AHTA VALLEY CREEK,NA,NA,NA,NA,NA
263,2008,12,AHTA VALLEY CREEK,NA,NA,NA,NA,NA
264,2009,12,AHTA VALLEY CREEK,NA,NA,NA,NA,NA
265,2010,12,AHTA VALLEY CREEK,NA,NA,NA,NA,NA
266,2011,12,AHTA VALLEY CREEK,NA,NA,NA,NA,NA
267,2012,12,AHTA VALLEY CREEK,NA,NA,NA,NA,NA
268,2013,12,AHTA VALLEY CREEK,NA,NA,NA,NA,NA
269,2014,12,AHTA VALLEY CREEK,NA,NA,NA,NA,NA
270,2015,12,AHTA VALLEY CREEK,NA,NA,NA,NA,NA
271,2016,12,AHTA VALLEY CREEK,NA,NA,NA,NA,NA
272,2017,12,AHTA VALLEY CREEK,NA,NA,NA,NA,NA
273,1950,12,ALLARDYCE CREEK,NA,NA,NA,NA,NA
274,1951,12,ALLARDYCE CREEK,NA,NA,NA,NA,NA
275,1952,12,ALLARDYCE CREEK,NA,NA,NA,NA,NA
276,1953,12,ALLARDYCE CREEK,1500,NA,NA,NA,NA
277,1954,12,ALLARDYCE CREEK,400,NA,NA,NA,NA
278,1955,12,ALLARDYCE CREEK,1500,NA,NA,NA,NA
279,1956,12,ALLARDYCE CREEK,1500,NA,NA,NA,NA
280,1957,12,ALLARDYCE CREEK,400,NA,NA,NA,NA
281,1958,12,ALLARDYCE CREEK,750,NA,NA,NA,NA
282,1959,12,ALLARDYCE CREEK,NA,NA,NA,NA,NA
283,1960,12,ALLARDYCE CREEK,NA,NA,NA,NA,NA
284,1961,12,ALLARDYCE CREEK,75,NA,NA,NA,NA
285,1962,12,ALLARDYCE CREEK,75,NA,NA,NA,NA
286,1963,12,ALLARDYCE CREEK,200,NA,NA,NA,NA
287,1964,12,ALLARDYCE CREEK,75,NA,NA,NA,NA
288,1965,12,ALLARDYCE CREEK,200,NA,NA,NA,NA
289,1966,12,ALLARDYCE CREEK,200,NA,NA,NA,NA
290,1967,12,ALLARDYCE CREEK,NA,NA,NA,NA,NA
291,1968,12,ALLARDYCE CREEK,NA,NA,NA,NA,NA
292,1969,12,ALLARDYCE CREEK,25,NA,NA,NA,NA
293,1970,12,ALLARDYCE CREEK,25,NA,NA,NA,NA
294,1971,12,ALLARDYCE CREEK,NA,NA,NA,NA,NA
295,1972,12,ALLARDYCE CREEK,NA,NA,NA,NA,NA
296,1973,12,ALLARDYCE CREEK,NA,NA,NA,NA,NA
297,1974,12,ALLARDYCE CREEK,NA,NA,NA,NA,NA
298,1975,12,ALLARDYCE CREEK,NA,NA,NA,NA,NA
299,1976,12,ALLARDYCE CREEK,NA,NA,NA,NA,NA
300,1977,12,ALLARDYCE CREEK,NA,NA,NA,NA,NA
301,1978,12,ALLARDYCE CREEK,30,NA,NA,NA,NA
302,1979,12,ALLARDYCE CREEK,38,NA,NA,NA,NA
303,1980,12,ALLARDYCE CREEK,NA,NA,NA,NA,NA
304,1981,12,ALLARDYCE CREEK,25,NA,NA,NA,NA
305,1982,12,ALLARDYCE CREEK,NA,NA,NA,NA,NA
306,1983,12,ALLARDYCE CREEK,40,NA,NA,NA,NA
307,1984,12,ALLARDYCE CREEK,40,NA,NA,NA,NA
308,1985,12,ALLARDYCE CREEK,50,NA,NA,NA,NA
309,1986,12,ALLARDYCE CREEK,NA,NA,NA,NA,NA
310,1987,12,ALLARDYCE CREEK,NA,NA,NA,NA,NA
311,1988,12,ALLARDYCE CREEK,NA,NA,NA,NA,NA
312,1989,12,ALLARDYCE CREEK,100,NA,NA,NA,NA
313,1990,12,ALLARDYCE CREEK,NA,NA,NA,NA,NA
314,1991,12,ALLARDYCE CREEK,NA,NA,NA,NA,NA
315,1992,12,ALLARDYCE CREEK,200,NA,NA,NA,NA
316,1993,12,ALLARDYCE CREEK,NA,NA,NA,NA,NA
317,1994,12,ALLARDYCE CREEK,200,NA,NA,NA,NA
318,1995,12,ALLARDYCE CREEK,NA,NA,NA,NA,NA
319,1996,12,ALLARDYCE CREEK,200,NA,NA,NA,NA
320,1997,12,ALLARDYCE CREEK,NA,NA,NA,NA,NA
321,1998,12,ALLARDYCE CREEK,250,NA,NA,NA,NA
322,1999,12,ALLARDYCE CREEK,NA,NA,NA,NA,NA
323,2000,12,ALLARDYCE CREEK,NA,NA,NA,NA,NA
324,2001,12,ALLARDYCE CREEK,NA,NA,NA,NA,NA
325,2002,12,ALLARDYCE CREEK,NA,NA,NA,NA,NA
326,2003,12,ALLARDYCE CREEK,NA,NA,NA,NA,NA
327,2004,12,ALLARDYCE CREEK,NA,NA,NA,NA,NA
328,2005,12,ALLARDYCE CREEK,NA,NA,NA,NA,NA
329,2006,12,ALLARDYCE CREEK,NA,NA,NA,NA,NA
330,2007,12,ALLARDYCE CREEK,NA,NA,NA,NA,NA
331,2008,12,ALLARDYCE CREEK,NA,NA,NA,NA,NA
332,2009,12,ALLARDYCE CREEK,NA,NA,NA,NA,NA
333,2010,12,ALLARDYCE CREEK,NA,NA,NA,NA,NA
334,2011,12,ALLARDYCE CREEK,NA,NA,NA,NA,NA
335,2012,12,ALLARDYCE CREEK,NA,NA,NA,NA,NA
336,2013,12,ALLARDYCE CREEK,NA,NA,NA,NA,NA
337,2014,12,ALLARDYCE CREEK,NA,NA,NA,NA,NA
338,2015,12,ALLARDYCE CREEK,NA,NA,NA,NA,NA
339,2016,12,ALLARDYCE CREEK,NA,NA,NA,NA,NA
340,2017,12,ALLARDYCE CREEK,NA,NA,NA,NA,NA
341,1950,12,BLIND CREEK,NA,NA,NA,NA,NA
342,1951,12,BLIND CREEK,NA,NA,NA,NA,NA
