"SpeciesId","CU","CU_Name","BroodYear","Escape","TR2","TR3","TR4","TR5","TR6","TR7","Total","Total.ER","Age2","Age3","Age4","Age5","Age6","Age7","CU_index_2"
"CO","CO_21","Rivers Inlet",1974,67090.9847,NA,19664.90891,5453.355353,0,0,0,25118.26426,0.263415453,NA,0.79411,0.20588,0,0,0,"CO-21"
"CO","CO_21","Rivers Inlet",1975,2715.953853,NA,21034.40849,1382.596134,0,0,0,22417.00462,0.216376979,NA,0.79411,0.20588,0,0,0,"CO-21"
"CO","CO_21","Rivers Inlet",1976,7827.281549,NA,5332.880395,3531.310498,0,0,0,8864.190893,0.216376979,NA,0.79411,0.20588,0,0,0,"CO-21"
"CO","CO_21","Rivers Inlet",1977,17890.92925,NA,13620.79357,5042.289819,0,0,0,18663.08339,0.277526995,NA,0.79411,0.20588,0,0,0,"CO-21"
"CO","CO_21","Rivers Inlet",1978,17890.92925,NA,19448.86715,7914.564782,0,0,0,27363.43193,0.324565469,NA,0.79411,0.20588,0,0,0,"CO-21"
"CO","CO_21","Rivers Inlet",1979,4472.732314,NA,30527.66194,20083.45147,0,0,0,50611.11341,0.333973164,NA,0.79411,0.20588,0,0,0,"CO-21"
"CO","CO_21","Rivers Inlet",1980,11181.83078,NA,77464.88074,20886.45361,0,0,0,98351.33435,0.348084706,NA,0.79411,0.20588,0,0,0,"CO-21"
"CO","CO_21","Rivers Inlet",1981,16772.74618,NA,80562.1803,3912.673156,0,0,0,84474.85345,0.315157774,NA,0.79411,0.20588,0,0,0,"CO-21"
"CO","CO_21","Rivers Inlet",1982,27954.57696,NA,15091.76647,1964.181536,0,0,0,17055.948,0.272823148,NA,0.79411,0.20588,0,0,0,"CO-21"
"CO","CO_21","Rivers Inlet",1983,60381.88623,NA,7576.142411,14263.50307,0,0,0,21839.64549,0.381011638,NA,0.79411,0.20588,0,0,0,"CO-21"
"CO","CO_21","Rivers Inlet",1984,67090.9847,NA,55016.46798,4679.334711,0,0,NA,59695.80269,0.338677011,NA,0.79411,0.20588,0,0,0,"CO-21"
"CO","CO_21","Rivers Inlet",1985,12300.01386,NA,18048.89493,103.6330443,0,NA,NA,18152.52797,0.352788553,NA,0.79411,0.20588,0,0,0,"CO-21"
"CO","CO_21","Rivers Inlet",1986,5815.655199,NA,399.7281756,15877.38409,NA,NA,NA,16277.11226,0.390419332,NA,0.79411,0.20588,0,0,0,"CO-21"
"CO","CO_21","Rivers Inlet",1987,48423.98104,NA,61241.4488,NA,NA,NA,NA,61241.4488,0.301046232,NA,0.79411,0.20588,0,0,0,"CO-21"
"CO","CO_21","Rivers Inlet",1988,15993.0518,NA,NA,NA,NA,NA,NA,NA,0.296342385,NA,0.79411,0.20588,0,0,0,"CO-21"
"CO","CO_21","Rivers Inlet",1989,357.8185851,NA,NA,NA,NA,NA,NA,NA,0.289148642,NA,0.79411,0.20588,0,0,0,"CO-21"
"CO","CO_21","Rivers Inlet",1990,51843.03363,NA,NA,NA,NA,NA,NA,NA,0.327758042,NA,0.79411,0.20588,0,0,0,"CO-21"
"CO","CO_21","Rivers Inlet",1991,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0.79411,0.20588,0,0,0,"CO-21"
"CO","CO_21","Rivers Inlet",1992,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0.79411,0.20588,0,0,0,"CO-21"
