"","Yr","Area","River","Spawners","Returns","Recruits","Expl"
"1739",1988,12,"GILFORD CREEK",3500,10384.7835994442,NA,0.662968422357177
"1740",1989,12,"GILFORD CREEK",200,828.373447771472,NA,0.758563000132309
"1741",1990,12,"GILFORD CREEK",NA,NA,46.3736676059936,0.551771761004763
"1742",1991,12,"GILFORD CREEK",NA,NA,NA,0.610236891943533
"1743",1992,12,"GILFORD CREEK",NA,NA,NA,0.846200576578609
"1744",1993,12,"GILFORD CREEK",6,46.3736676059936,1.18339529953573,0.870616228783584
"1745",1994,12,"GILFORD CREEK",NA,NA,NA,0.688336172661556
"1746",1995,12,"GILFORD CREEK",NA,NA,4502.62538242036,0.41545900740463
"1747",1996,12,"GILFORD CREEK",1,1.18339529953573,201.170423782217,0.154973827940401
"1748",1997,12,"GILFORD CREEK",NA,NA,150.016339617044,0.272777956656083
"1749",1998,12,"GILFORD CREEK",4500,4502.62538242036,NA,0.000583078137170725
"1750",1999,12,"GILFORD CREEK",200,201.170423782217,NA,0.00581807086852831
"1751",2000,12,"GILFORD CREEK",150,150.016339617044,NA,0.000108918915671366
"1752",2001,12,"GILFORD CREEK",NA,NA,NA,6.58172515066211e-05
"1753",2002,12,"GILFORD CREEK",NA,NA,189.300167308375,0.000110894640181671
"1754",2003,12,"GILFORD CREEK",NA,NA,NA,0
"1755",2004,12,"GILFORD CREEK",NA,NA,NA,8.1251212286391e-05
"1756",2005,12,"GILFORD CREEK",189,189.300167308375,NA,0.00158566847902736
"1757",2006,12,"GILFORD CREEK",NA,NA,70.0036352030373,5.56360213756606e-05
"1758",2007,12,"GILFORD CREEK",NA,NA,10.0896031494413,0
"1759",2008,12,"GILFORD CREEK",NA,NA,185.651052752412,2.769197939731e-05
"1760",2009,12,"GILFORD CREEK",70,70.0036352030373,1360.10456696415,5.19287752240718e-05
"1761",2010,12,"GILFORD CREEK",10,10.0896031494413,50.8361666066173,0.00888074071042353
"1762",2011,12,"GILFORD CREEK",183,185.651052752412,50.5811324554881,0.0142797614832157
"1763",2012,12,"GILFORD CREEK",1360,1360.10456696415,NA,7.68815624118097e-05
"1764",2013,12,"GILFORD CREEK",50,50.8361666066173,NA,0.0164482623776054
"1765",2014,12,"GILFORD CREEK",50,50.5811324554881,5.01889113741714,0.0114891151557245
"1766",2015,12,"GILFORD CREEK",NA,NA,NA,0.0135595098287899
"1767",2016,12,"GILFORD CREEK",NA,NA,NA,0.00202795595384339
"1768",2017,12,"GILFORD CREEK",5,5.01889113741714,NA,0.00376400621171083
"1769",1950,12,"GLENDALE CREEK",NA,NA,NA,NA
"1770",1951,12,"GLENDALE CREEK",NA,NA,NA,NA
"1771",1952,12,"GLENDALE CREEK",NA,NA,NA,NA
"1772",1953,12,"GLENDALE CREEK",7500,NA,NA,NA
"1773",1954,12,"GLENDALE CREEK",750,NA,NA,NA
"1774",1955,12,"GLENDALE CREEK",7500,NA,NA,NA
"1775",1956,12,"GLENDALE CREEK",3500,NA,NA,NA
"1776",1957,12,"GLENDALE CREEK",1500,NA,NA,NA
"1777",1958,12,"GLENDALE CREEK",7500,NA,NA,NA
"1778",1959,12,"GLENDALE CREEK",3500,NA,NA,NA
"1779",1960,12,"GLENDALE CREEK",1500,NA,NA,NA
"1780",1961,12,"GLENDALE CREEK",3500,NA,NA,NA
"1781",1962,12,"GLENDALE CREEK",3500,NA,NA,NA
"1782",1963,12,"GLENDALE CREEK",1500,NA,NA,NA
"1783",1964,12,"GLENDALE CREEK",1500,NA,NA,NA
"1784",1965,12,"GLENDALE CREEK",400,NA,NA,NA
"1785",1966,12,"GLENDALE CREEK",400,NA,NA,NA
"1786",1967,12,"GLENDALE CREEK",200,NA,NA,NA
"1787",1968,12,"GLENDALE CREEK",400,NA,NA,NA
"1788",1969,12,"GLENDALE CREEK",NA,NA,NA,NA
"1789",1970,12,"GLENDALE CREEK",200,NA,NA,NA
"1790",1971,12,"GLENDALE CREEK",200,NA,NA,NA
"1791",1972,12,"GLENDALE CREEK",75,NA,NA,NA
"1792",1973,12,"GLENDALE CREEK",50,NA,NA,NA
"1793",1974,12,"GLENDALE CREEK",NA,NA,NA,NA
"1794",1975,12,"GLENDALE CREEK",25,NA,NA,NA
"1795",1976,12,"GLENDALE CREEK",NA,NA,NA,NA
"1796",1977,12,"GLENDALE CREEK",NA,NA,NA,NA
"1797",1978,12,"GLENDALE CREEK",2000,NA,NA,NA
"1798",1979,12,"GLENDALE CREEK",10,NA,NA,NA
"1799",1980,12,"GLENDALE CREEK",NA,NA,17918.1812094662,NA
"1800",1981,12,"GLENDALE CREEK",300,NA,NA,NA
"1801",1982,12,"GLENDALE CREEK",NA,NA,1279.54385817721,NA
"1802",1983,12,"GLENDALE CREEK",2400,17918.1812094662,379.703045926838,0.866057834110302
"1803",1984,12,"GLENDALE CREEK",NA,NA,526.701411561316,0.775693911882616
"1804",1985,12,"GLENDALE CREEK",250,1279.54385817721,148.354051420632,0.804617873469269
"1805",1986,12,"GLENDALE CREEK",100,379.703045926838,1449.65353360008,0.736636297568
"1806",1987,12,"GLENDALE CREEK",200,526.701411561316,NA,0.620278215303934
"1807",1988,12,"GLENDALE CREEK",50,148.354051420632,1282.83049284275,0.662968422357177
"1808",1989,12,"GLENDALE CREEK",350,1449.65353360008,NA,0.758563000132309
"1809",1990,12,"GLENDALE CREEK",NA,NA,772.894460099894,0.551771761004763
"1810",1991,12,"GLENDALE CREEK",500,1282.83049284275,641.717076081514,0.610236891943533
"1811",1992,12,"GLENDALE CREEK",NA,NA,239.504160997158,0.846200576578609
"1812",1993,12,"GLENDALE CREEK",100,772.894460099894,62.7199508753937,0.870616228783584
"1813",1994,12,"GLENDALE CREEK",200,641.717076081514,NA,0.688336172661556
"1814",1995,12,"GLENDALE CREEK",140,239.504160997158,250.145854578909,0.41545900740463
"1815",1996,12,"GLENDALE CREEK",53,62.7199508753937,NA,0.154973827940401
"1816",1997,12,"GLENDALE CREEK",NA,NA,NA,0.272777956656083
"1817",1998,12,"GLENDALE CREEK",250,250.145854578909,NA,0.000583078137170725
"1818",1999,12,"GLENDALE CREEK",NA,NA,NA,0.00581807086852831
"1819",2000,12,"GLENDALE CREEK",NA,NA,32,0.000108918915671366
"1820",2001,12,"GLENDALE CREEK",NA,NA,NA,6.58172515066211e-05
"1821",2002,12,"GLENDALE CREEK",NA,NA,NA,0.000110894640181671
"1822",2003,12,"GLENDALE CREEK",32,32,NA,0
"1823",2004,12,"GLENDALE CREEK",NA,NA,NA,8.1251212286391e-05
"1824",2005,12,"GLENDALE CREEK",NA,NA,25.0006923186566,0.00158566847902736
"1825",2006,12,"GLENDALE CREEK",NA,NA,NA,5.56360213756606e-05
"1826",2007,12,"GLENDALE CREEK",NA,NA,NA,0
"1827",2008,12,"GLENDALE CREEK",25,25.0006923186566,NA,2.769197939731e-05
"1828",2009,12,"GLENDALE CREEK",NA,NA,NA,5.19287752240718e-05
"1829",2010,12,"GLENDALE CREEK",NA,NA,NA,0.00888074071042353
"1830",2011,12,"GLENDALE CREEK",NA,NA,NA,0.0142797614832157
"1831",2012,12,"GLENDALE CREEK",NA,NA,NA,7.68815624118097e-05
"1832",2013,12,"GLENDALE CREEK",NA,NA,NA,0.0164482623776054
"1833",2014,12,"GLENDALE CREEK",NA,NA,NA,0.0114891151557245
"1834",2015,12,"GLENDALE CREEK",NA,NA,NA,0.0135595098287899
"1835",2016,12,"GLENDALE CREEK",NA,NA,NA,0.00202795595384339
"1836",2017,12,"GLENDALE CREEK",NA,NA,NA,0.00376400621171083
"1837",1950,12,"HAND CREEK",NA,NA,NA,NA
"1838",1951,12,"HAND CREEK",NA,NA,NA,NA
"1839",1952,12,"HAND CREEK",NA,NA,NA,NA
"1840",1953,12,"HAND CREEK",NA,NA,NA,NA
"1841",1954,12,"HAND CREEK",NA,NA,NA,NA
"1842",1955,12,"HAND CREEK",NA,NA,NA,NA
"1843",1956,12,"HAND CREEK",NA,NA,NA,NA
"1844",1957,12,"HAND CREEK",NA,NA,NA,NA
"1845",1958,12,"HAND CREEK",NA,NA,NA,NA
"1846",1959,12,"HAND CREEK",NA,NA,NA,NA
"1847",1960,12,"HAND CREEK",NA,NA,NA,NA
"1848",1961,12,"HAND CREEK",NA,NA,NA,NA
"1849",1962,12,"HAND CREEK",NA,NA,NA,NA
"1850",1963,12,"HAND CREEK",NA,NA,NA,NA
"1851",1964,12,"HAND CREEK",NA,NA,NA,NA
"1852",1965,12,"HAND CREEK",NA,NA,NA,NA
"1853",1966,12,"HAND CREEK",NA,NA,NA,NA
"1854",1967,12,"HAND CREEK",NA,NA,NA,NA
"1855",1968,12,"HAND CREEK",NA,NA,NA,NA
"1856",1969,12,"HAND CREEK",NA,NA,NA,NA
"1857",1970,12,"HAND CREEK",NA,NA,NA,NA
"1858",1971,12,"HAND CREEK",NA,NA,NA,NA
"1859",1972,12,"HAND CREEK",NA,NA,NA,NA
"1860",1973,12,"HAND CREEK",NA,NA,NA,NA
"1861",1974,12,"HAND CREEK",NA,NA,NA,NA
"1862",1975,12,"HAND CREEK",NA,NA,NA,NA
"1863",1976,12,"HAND CREEK",NA,NA,NA,NA
"1864",1977,12,"HAND CREEK",NA,NA,NA,NA
"1865",1978,12,"HAND CREEK",NA,NA,NA,NA
"1866",1979,12,"HAND CREEK",NA,NA,NA,NA
"1867",1980,12,"HAND CREEK",NA,NA,NA,NA
"1868",1981,12,"HAND CREEK",NA,NA,NA,NA
"1869",1982,12,"HAND CREEK",NA,NA,NA,NA
"1870",1983,12,"HAND CREEK",NA,NA,NA,0.866057834110302
"1871",1984,12,"HAND CREEK",NA,NA,NA,0.775693911882616
"1872",1985,12,"HAND CREEK",NA,NA,NA,0.804617873469269
"1873",1986,12,"HAND CREEK",NA,NA,NA,0.736636297568
"1874",1987,12,"HAND CREEK",NA,NA,NA,0.620278215303934
"1875",1988,12,"HAND CREEK",NA,NA,NA,0.662968422357177
"1876",1989,12,"HAND CREEK",NA,NA,NA,0.758563000132309
"1877",1990,12,"HAND CREEK",NA,NA,NA,0.551771761004763
"1878",1991,12,"HAND CREEK",NA,NA,NA,0.610236891943533
"1879",1992,12,"HAND CREEK",NA,NA,NA,0.846200576578609
"1880",1993,12,"HAND CREEK",NA,NA,NA,0.870616228783584
"1881",1994,12,"HAND CREEK",NA,NA,NA,0.688336172661556
"1882",1995,12,"HAND CREEK",NA,NA,NA,0.41545900740463
"1883",1996,12,"HAND CREEK",NA,NA,NA,0.154973827940401
"1884",1997,12,"HAND CREEK",NA,NA,NA,0.272777956656083
"1885",1998,12,"HAND CREEK",NA,NA,NA,0.000583078137170725
"1886",1999,12,"HAND CREEK",NA,NA,NA,0.00581807086852831
"1887",2000,12,"HAND CREEK",NA,NA,NA,0.000108918915671366
"1888",2001,12,"HAND CREEK",NA,NA,NA,6.58172515066211e-05
"1889",2002,12,"HAND CREEK",NA,NA,NA,0.000110894640181671
"1890",2003,12,"HAND CREEK",NA,NA,NA,0
"1891",2004,12,"HAND CREEK",NA,NA,NA,8.1251212286391e-05
"1892",2005,12,"HAND CREEK",NA,NA,NA,0.00158566847902736
"1893",2006,12,"HAND CREEK",NA,NA,NA,5.56360213756606e-05
"1894",2007,12,"HAND CREEK",NA,NA,NA,0
"1895",2008,12,"HAND CREEK",NA,NA,NA,2.769197939731e-05
"1896",2009,12,"HAND CREEK",NA,NA,NA,5.19287752240718e-05
"1897",2010,12,"HAND CREEK",NA,NA,NA,0.00888074071042353
"1898",2011,12,"HAND CREEK",NA,NA,NA,0.0142797614832157
"1899",2012,12,"HAND CREEK",NA,NA,NA,7.68815624118097e-05
"1900",2013,12,"HAND CREEK",NA,NA,NA,0.0164482623776054
"1901",2014,12,"HAND CREEK",NA,NA,NA,0.0114891151557245
"1902",2015,12,"HAND CREEK",NA,NA,NA,0.0135595098287899
"1903",2016,12,"HAND CREEK",NA,NA,NA,0.00202795595384339
"1904",2017,12,"HAND CREEK",NA,NA,NA,0.00376400621171083
"1905",1950,12,"HAUSKIN CREEK",NA,NA,NA,NA
"1906",1951,12,"HAUSKIN CREEK",NA,NA,NA,NA
"1907",1952,12,"HAUSKIN CREEK",NA,NA,NA,NA
"1908",1953,12,"HAUSKIN CREEK",400,NA,NA,NA
"1909",1954,12,"HAUSKIN CREEK",400,NA,NA,NA
"1910",1955,12,"HAUSKIN CREEK",1500,NA,NA,NA
"1911",1956,12,"HAUSKIN CREEK",750,NA,NA,NA
"1912",1957,12,"HAUSKIN CREEK",750,NA,NA,NA
"1913",1958,12,"HAUSKIN CREEK",1500,NA,NA,NA
"1914",1959,12,"HAUSKIN CREEK",200,NA,NA,NA
"1915",1960,12,"HAUSKIN CREEK",200,NA,NA,NA
"1916",1961,12,"HAUSKIN CREEK",25,NA,NA,NA
"1917",1962,12,"HAUSKIN CREEK",75,NA,NA,NA
"1918",1963,12,"HAUSKIN CREEK",400,NA,NA,NA
"1919",1964,12,"HAUSKIN CREEK",75,NA,NA,NA
"1920",1965,12,"HAUSKIN CREEK",200,NA,NA,NA
"1921",1966,12,"HAUSKIN CREEK",750,NA,NA,NA
"1922",1967,12,"HAUSKIN CREEK",75,NA,NA,NA
"1923",1968,12,"HAUSKIN CREEK",400,NA,NA,NA
"1924",1969,12,"HAUSKIN CREEK",200,NA,NA,NA
"1925",1970,12,"HAUSKIN CREEK",200,NA,NA,NA
"1926",1971,12,"HAUSKIN CREEK",25,NA,NA,NA
"1927",1972,12,"HAUSKIN CREEK",200,NA,NA,NA
"1928",1973,12,"HAUSKIN CREEK",60,NA,NA,NA
"1929",1974,12,"HAUSKIN CREEK",NA,NA,NA,NA
"1930",1975,12,"HAUSKIN CREEK",NA,NA,NA,NA
"1931",1976,12,"HAUSKIN CREEK",NA,NA,NA,NA
"1932",1977,12,"HAUSKIN CREEK",NA,NA,NA,NA
"1933",1978,12,"HAUSKIN CREEK",NA,NA,NA,NA
"1934",1979,12,"HAUSKIN CREEK",NA,NA,NA,NA
"1935",1980,12,"HAUSKIN CREEK",NA,NA,NA,NA
"1936",1981,12,"HAUSKIN CREEK",NA,NA,NA,NA
"1937",1982,12,"HAUSKIN CREEK",NA,NA,102.363508654177,NA
"1938",1983,12,"HAUSKIN CREEK",NA,NA,NA,0.866057834110302
"1939",1984,12,"HAUSKIN CREEK",NA,NA,NA,0.775693911882616
"1940",1985,12,"HAUSKIN CREEK",20,102.363508654177,NA,0.804617873469269
"1941",1986,12,"HAUSKIN CREEK",NA,NA,NA,0.736636297568
"1942",1987,12,"HAUSKIN CREEK",NA,NA,NA,0.620278215303934
"1943",1988,12,"HAUSKIN CREEK",NA,NA,NA,0.662968422357177
"1944",1989,12,"HAUSKIN CREEK",NA,NA,NA,0.758563000132309
"1945",1990,12,"HAUSKIN CREEK",NA,NA,NA,0.551771761004763
"1946",1991,12,"HAUSKIN CREEK",NA,NA,NA,0.610236891943533
"1947",1992,12,"HAUSKIN CREEK",NA,NA,42.7686001780639,0.846200576578609
"1948",1993,12,"HAUSKIN CREEK",NA,NA,35.5018589860719,0.870616228783584
"1949",1994,12,"HAUSKIN CREEK",NA,NA,NA,0.688336172661556
"1950",1995,12,"HAUSKIN CREEK",25,42.7686001780639,50.0291709157818,0.41545900740463
"1951",1996,12,"HAUSKIN CREEK",30,35.5018589860719,NA,0.154973827940401
"1952",1997,12,"HAUSKIN CREEK",NA,NA,NA,0.272777956656083
"1953",1998,12,"HAUSKIN CREEK",50,50.0291709157818,NA,0.000583078137170725
"1954",1999,12,"HAUSKIN CREEK",NA,NA,NA,0.00581807086852831
"1955",2000,12,"HAUSKIN CREEK",NA,NA,NA,0.000108918915671366
"1956",2001,12,"HAUSKIN CREEK",NA,NA,NA,6.58172515066211e-05
"1957",2002,12,"HAUSKIN CREEK",NA,NA,NA,0.000110894640181671
"1958",2003,12,"HAUSKIN CREEK",NA,NA,NA,0
"1959",2004,12,"HAUSKIN CREEK",NA,NA,NA,8.1251212286391e-05
"1960",2005,12,"HAUSKIN CREEK",NA,NA,NA,0.00158566847902736
"1961",2006,12,"HAUSKIN CREEK",NA,NA,NA,5.56360213756606e-05
"1962",2007,12,"HAUSKIN CREEK",NA,NA,NA,0
"1963",2008,12,"HAUSKIN CREEK",NA,NA,NA,2.769197939731e-05
"1964",2009,12,"HAUSKIN CREEK",NA,NA,NA,5.19287752240718e-05
"1965",2010,12,"HAUSKIN CREEK",NA,NA,NA,0.00888074071042353
"1966",2011,12,"HAUSKIN CREEK",NA,NA,NA,0.0142797614832157
"1967",2012,12,"HAUSKIN CREEK",NA,NA,NA,7.68815624118097e-05
"1968",2013,12,"HAUSKIN CREEK",NA,NA,NA,0.0164482623776054
"1969",2014,12,"HAUSKIN CREEK",NA,NA,NA,0.0114891151557245
"1970",2015,12,"HAUSKIN CREEK",NA,NA,NA,0.0135595098287899
"1971",2016,12,"HAUSKIN CREEK",NA,NA,NA,0.00202795595384339
"1972",2017,12,"HAUSKIN CREEK",NA,NA,NA,0.00376400621171083
"1973",1950,12,"HEALTH LAGOON CREEK",750,NA,NA,NA
"1974",1951,12,"HEALTH LAGOON CREEK",1500,NA,NA,NA
"1975",1952,12,"HEALTH LAGOON CREEK",750,NA,NA,NA
"1976",1953,12,"HEALTH LAGOON CREEK",400,NA,NA,NA
"1977",1954,12,"HEALTH LAGOON CREEK",750,NA,NA,NA
"1978",1955,12,"HEALTH LAGOON CREEK",1500,NA,NA,NA
"1979",1956,12,"HEALTH LAGOON CREEK",750,NA,NA,NA
"1980",1957,12,"HEALTH LAGOON CREEK",NA,NA,NA,NA
"1981",1958,12,"HEALTH LAGOON CREEK",NA,NA,NA,NA
"1982",1959,12,"HEALTH LAGOON CREEK",NA,NA,NA,NA
"1983",1960,12,"HEALTH LAGOON CREEK",NA,NA,NA,NA
"1984",1961,12,"HEALTH LAGOON CREEK",NA,NA,NA,NA
"1985",1962,12,"HEALTH LAGOON CREEK",NA,NA,NA,NA
"1986",1963,12,"HEALTH LAGOON CREEK",NA,NA,NA,NA
"1987",1964,12,"HEALTH LAGOON CREEK",NA,NA,NA,NA
"1988",1965,12,"HEALTH LAGOON CREEK",NA,NA,NA,NA
"1989",1966,12,"HEALTH LAGOON CREEK",25,NA,NA,NA
"1990",1967,12,"HEALTH LAGOON CREEK",25,NA,NA,NA
"1991",1968,12,"HEALTH LAGOON CREEK",NA,NA,NA,NA
"1992",1969,12,"HEALTH LAGOON CREEK",NA,NA,NA,NA
"1993",1970,12,"HEALTH LAGOON CREEK",25,NA,NA,NA
"1994",1971,12,"HEALTH LAGOON CREEK",NA,NA,NA,NA
"1995",1972,12,"HEALTH LAGOON CREEK",NA,NA,NA,NA
"1996",1973,12,"HEALTH LAGOON CREEK",NA,NA,NA,NA
"1997",1974,12,"HEALTH LAGOON CREEK",NA,NA,NA,NA
"1998",1975,12,"HEALTH LAGOON CREEK",NA,NA,NA,NA
"1999",1976,12,"HEALTH LAGOON CREEK",NA,NA,NA,NA
"2000",1977,12,"HEALTH LAGOON CREEK",NA,NA,NA,NA
"2001",1978,12,"HEALTH LAGOON CREEK",NA,NA,NA,NA
"2002",1979,12,"HEALTH LAGOON CREEK",NA,NA,NA,NA
"2003",1980,12,"HEALTH LAGOON CREEK",NA,NA,NA,NA
"2004",1981,12,"HEALTH LAGOON CREEK",NA,NA,NA,NA
"2005",1982,12,"HEALTH LAGOON CREEK",NA,NA,NA,NA
"2006",1983,12,"HEALTH LAGOON CREEK",NA,NA,NA,0.866057834110302
"2007",1984,12,"HEALTH LAGOON CREEK",NA,NA,NA,0.775693911882616
"2008",1985,12,"HEALTH LAGOON CREEK",NA,NA,NA,0.804617873469269
"2009",1986,12,"HEALTH LAGOON CREEK",NA,NA,NA,0.736636297568
"2010",1987,12,"HEALTH LAGOON CREEK",NA,NA,NA,0.620278215303934
"2011",1988,12,"HEALTH LAGOON CREEK",NA,NA,NA,0.662968422357177
"2012",1989,12,"HEALTH LAGOON CREEK",NA,NA,NA,0.758563000132309
"2013",1990,12,"HEALTH LAGOON CREEK",NA,NA,NA,0.551771761004763
"2014",1991,12,"HEALTH LAGOON CREEK",NA,NA,NA,0.610236891943533
"2015",1992,12,"HEALTH LAGOON CREEK",NA,NA,NA,0.846200576578609
"2016",1993,12,"HEALTH LAGOON CREEK",NA,NA,NA,0.870616228783584
"2017",1994,12,"HEALTH LAGOON CREEK",NA,NA,NA,0.688336172661556
"2018",1995,12,"HEALTH LAGOON CREEK",NA,NA,NA,0.41545900740463
"2019",1996,12,"HEALTH LAGOON CREEK",NA,NA,NA,0.154973827940401
"2020",1997,12,"HEALTH LAGOON CREEK",NA,NA,100.010893078029,0.272777956656083
"2021",1998,12,"HEALTH LAGOON CREEK",NA,NA,NA,0.000583078137170725
"2022",1999,12,"HEALTH LAGOON CREEK",NA,NA,NA,0.00581807086852831
"2023",2000,12,"HEALTH LAGOON CREEK",100,100.010893078029,NA,0.000108918915671366
"2024",2001,12,"HEALTH LAGOON CREEK",NA,NA,NA,6.58172515066211e-05
"2025",2002,12,"HEALTH LAGOON CREEK",NA,NA,NA,0.000110894640181671
"2026",2003,12,"HEALTH LAGOON CREEK",NA,NA,NA,0
"2027",2004,12,"HEALTH LAGOON CREEK",NA,NA,NA,8.1251212286391e-05
"2028",2005,12,"HEALTH LAGOON CREEK",NA,NA,NA,0.00158566847902736
"2029",2006,12,"HEALTH LAGOON CREEK",NA,NA,NA,5.56360213756606e-05
"2030",2007,12,"HEALTH LAGOON CREEK",NA,NA,NA,0
"2031",2008,12,"HEALTH LAGOON CREEK",NA,NA,NA,2.769197939731e-05
"2032",2009,12,"HEALTH LAGOON CREEK",NA,NA,NA,5.19287752240718e-05
"2033",2010,12,"HEALTH LAGOON CREEK",NA,NA,NA,0.00888074071042353
"2034",2011,12,"HEALTH LAGOON CREEK",NA,NA,NA,0.0142797614832157
"2035",2012,12,"HEALTH LAGOON CREEK",NA,NA,NA,7.68815624118097e-05
"2036",2013,12,"HEALTH LAGOON CREEK",NA,NA,NA,0.0164482623776054
"2037",2014,12,"HEALTH LAGOON CREEK",NA,NA,NA,0.0114891151557245
"2038",2015,12,"HEALTH LAGOON CREEK",NA,NA,NA,0.0135595098287899
"2039",2016,12,"HEALTH LAGOON CREEK",NA,NA,NA,0.00202795595384339
"2040",2017,12,"HEALTH LAGOON CREEK",NA,NA,NA,0.00376400621171083
"2041",1950,12,"HOEYA SOUND CREEK",NA,NA,NA,NA
"2042",1951,12,"HOEYA SOUND CREEK",NA,NA,NA,NA
"2043",1952,12,"HOEYA SOUND CREEK",75,NA,NA,NA
"2044",1953,12,"HOEYA SOUND CREEK",200,NA,NA,NA
"2045",1954,12,"HOEYA SOUND CREEK",400,NA,NA,NA
"2046",1955,12,"HOEYA SOUND CREEK",400,NA,NA,NA
"2047",1956,12,"HOEYA SOUND CREEK",400,NA,NA,NA
"2048",1957,12,"HOEYA SOUND CREEK",750,NA,NA,NA
"2049",1958,12,"HOEYA SOUND CREEK",750,NA,NA,NA
"2050",1959,12,"HOEYA SOUND CREEK",400,NA,NA,NA
"2051",1960,12,"HOEYA SOUND CREEK",200,NA,NA,NA
"2052",1961,12,"HOEYA SOUND CREEK",25,NA,NA,NA
"2053",1962,12,"HOEYA SOUND CREEK",75,NA,NA,NA
"2054",1963,12,"HOEYA SOUND CREEK",75,NA,NA,NA
"2055",1964,12,"HOEYA SOUND CREEK",NA,NA,NA,NA
"2056",1965,12,"HOEYA SOUND CREEK",NA,NA,NA,NA
"2057",1966,12,"HOEYA SOUND CREEK",NA,NA,NA,NA
"2058",1967,12,"HOEYA SOUND CREEK",NA,NA,NA,NA
"2059",1968,12,"HOEYA SOUND CREEK",NA,NA,NA,NA
"2060",1969,12,"HOEYA SOUND CREEK",NA,NA,NA,NA
"2061",1970,12,"HOEYA SOUND CREEK",NA,NA,NA,NA
"2062",1971,12,"HOEYA SOUND CREEK",NA,NA,NA,NA
"2063",1972,12,"HOEYA SOUND CREEK",NA,NA,NA,NA
"2064",1973,12,"HOEYA SOUND CREEK",NA,NA,NA,NA
"2065",1974,12,"HOEYA SOUND CREEK",NA,NA,NA,NA
"2066",1975,12,"HOEYA SOUND CREEK",NA,NA,NA,NA
"2067",1976,12,"HOEYA SOUND CREEK",NA,NA,NA,NA
"2068",1977,12,"HOEYA SOUND CREEK",NA,NA,NA,NA
"2069",1978,12,"HOEYA SOUND CREEK",NA,NA,NA,NA
"2070",1979,12,"HOEYA SOUND CREEK",NA,NA,NA,NA
"2071",1980,12,"HOEYA SOUND CREEK",NA,NA,NA,NA
"2072",1981,12,"HOEYA SOUND CREEK",NA,NA,NA,NA
"2073",1982,12,"HOEYA SOUND CREEK",NA,NA,NA,NA
"2074",1983,12,"HOEYA SOUND CREEK",NA,NA,NA,0.866057834110302
"2075",1984,12,"HOEYA SOUND CREEK",NA,NA,NA,0.775693911882616
"2076",1985,12,"HOEYA SOUND CREEK",NA,NA,NA,0.804617873469269
"2077",1986,12,"HOEYA SOUND CREEK",NA,NA,NA,0.736636297568
"2078",1987,12,"HOEYA SOUND CREEK",NA,NA,NA,0.620278215303934
"2079",1988,12,"HOEYA SOUND CREEK",NA,NA,NA,0.662968422357177
"2080",1989,12,"HOEYA SOUND CREEK",NA,NA,NA,0.758563000132309
"2081",1990,12,"HOEYA SOUND CREEK",NA,NA,NA,0.551771761004763
"2082",1991,12,"HOEYA SOUND CREEK",NA,NA,32.0858538040757,0.610236891943533
"2083",1992,12,"HOEYA SOUND CREEK",NA,NA,17.1074400712256,0.846200576578609
"2084",1993,12,"HOEYA SOUND CREEK",NA,NA,11.8339529953573,0.870616228783584
"2085",1994,12,"HOEYA SOUND CREEK",10,32.0858538040757,NA,0.688336172661556
"2086",1995,12,"HOEYA SOUND CREEK",10,17.1074400712256,NA,0.41545900740463
"2087",1996,12,"HOEYA SOUND CREEK",10,11.8339529953573,NA,0.154973827940401
"2088",1997,12,"HOEYA SOUND CREEK",NA,NA,15.0016339617044,0.272777956656083
"2089",1998,12,"HOEYA SOUND CREEK",NA,NA,NA,0.000583078137170725
"2090",1999,12,"HOEYA SOUND CREEK",NA,NA,NA,0.00581807086852831
"2091",2000,12,"HOEYA SOUND CREEK",15,15.0016339617044,NA,0.000108918915671366
"2092",2001,12,"HOEYA SOUND CREEK",NA,NA,NA,6.58172515066211e-05
"2093",2002,12,"HOEYA SOUND CREEK",NA,NA,NA,0.000110894640181671
"2094",2003,12,"HOEYA SOUND CREEK",NA,NA,NA,0
"2095",2004,12,"HOEYA SOUND CREEK",NA,NA,NA,8.1251212286391e-05
"2096",2005,12,"HOEYA SOUND CREEK",NA,NA,NA,0.00158566847902736
"2097",2006,12,"HOEYA SOUND CREEK",NA,NA,NA,5.56360213756606e-05
"2098",2007,12,"HOEYA SOUND CREEK",NA,NA,NA,0
"2099",2008,12,"HOEYA SOUND CREEK",NA,NA,NA,2.769197939731e-05
"2100",2009,12,"HOEYA SOUND CREEK",NA,NA,NA,5.19287752240718e-05
"2101",2010,12,"HOEYA SOUND CREEK",NA,NA,1034.0076287786,0.00888074071042353
"2102",2011,12,"HOEYA SOUND CREEK",NA,NA,NA,0.0142797614832157
"2103",2012,12,"HOEYA SOUND CREEK",NA,NA,NA,7.68815624118097e-05
"2104",2013,12,"HOEYA SOUND CREEK",1017,1034.0076287786,NA,0.0164482623776054
"2105",2014,12,"HOEYA SOUND CREEK",NA,NA,NA,0.0114891151557245
"2106",2015,12,"HOEYA SOUND CREEK",NA,NA,NA,0.0135595098287899
"2107",2016,12,"HOEYA SOUND CREEK",NA,NA,NA,0.00202795595384339
"2108",2017,12,"HOEYA SOUND CREEK",NA,NA,NA,0.00376400621171083
"2109",1950,12,"HYCUND CREEK",NA,NA,NA,NA
"2110",1951,12,"HYCUND CREEK",NA,NA,NA,NA
